t,dy,x,z,stress,regime,y,population,population_next,tfr,source_population,source_tfr
1961,0.018598882333990437,0.93825,0.01999184556900259,0.06174999999999997,normal,18271000,18271000,18614000,3.753,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1962,0.01862845927635311,0.92025,0.018598882333990437,0.07974999999999999,normal,18614000,18614000,18964000,3.681,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1963,0.018857149433613694,0.90175,0.01862845927635311,0.09824999999999995,normal,18964000,18964000,19325000,3.607,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1964,0.018101665970088165,0.864,0.018857149433613694,0.136,normal,19325000,19325000,19678000,3.456,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1965,0.01862813771013879,0.77875,0.018101665970088165,0.22124999999999995,normal,19678000,19678000,20048000,3.115,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1966,0.017993565048012472,0.68725,0.01862813771013879,0.31275,normal,20048000,20048000,20412000,2.749,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1967,0.01613408503463817,0.632,0.017993565048012472,0.368,normal,20412000,20412000,20744000,2.528,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1968,0.01359783472083835,0.5965,0.01613408503463817,0.40349999999999997,normal,20744000,20744000,21028000,2.386,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1969,0.013978316003312905,0.5835,0.01359783472083835,0.4165,normal,21028000,21028000,21324000,2.334,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1970,0.02948194527614385,0.5645,0.013978316003312905,0.4355,normal,21324000,21324000,21962032,2.258,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1971,0.01160846566514646,0.53525,0.02948194527614385,0.46475,normal,21962032,21962032,22218463,2.141,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1972,0.012226165842684935,0.495,0.01160846566514646,0.505,normal,22218463,22218463,22491777,1.98,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1973,0.013960216692737105,0.4725,0.012226165842684935,0.5275000000000001,normal,22491777,22491777,22807969,1.89,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1974,0.014594249132399763,0.45925,0.013960216692737105,0.5407500000000001,normal,22807969,22807969,23143275,1.837,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1975,0.013158065655880413,0.456,0.014594249132399763,0.544,normal,23143275,23143275,23449808,1.824,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1976,0.01170256877832663,0.449,0.013158065655880413,0.5509999999999999,normal,23449808,23449808,23725843,1.796,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1977,0.0099545694441135,0.4455,0.01170256877832663,0.5545,normal,23725843,23725843,23963203,1.782,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1978,0.009896987332347038,0.442,0.0099545694441135,0.558,normal,23963203,23963203,24201544,1.768,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1979,0.012895949784715552,0.4385,0.009896987332347038,0.5615,normal,24201544,24201544,24515667,1.754,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1980,0.012333972548052798,0.435,0.012895949784715552,0.565,normal,24515667,24515667,24819915,1.74,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1981,0.011896243407757516,0.425,0.012333972548052798,0.575,normal,24819915,24819915,25116942,1.7,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1982,0.009884875671477706,0.4225,0.011896243407757516,0.5775,normal,25116942,25116942,25366451,1.69,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1983,0.00944034716041094,0.42,0.009884875671477706,0.5800000000000001,normal,25366451,25366451,25607053,1.68,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1984,0.009137742753900101,0.4125,0.00944034716041094,0.5875,normal,25607053,25607053,25842116,1.65,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1985,0.009940401506309912,0.4175,0.009137742753900101,0.5825,normal,25842116,25842116,26100278,1.67,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1986,0.013181677817449779,0.41875,0.009940401506309912,0.58125,normal,26100278,26100278,26446601,1.675,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
1987,0.012966248899599917,0.42,0.013181677817449779,0.5800000000000001,normal,26446601,26446601,26791747,1.68,"FRED POPTOTCAA647NWDB, source World Bank WDI","FRED SPDYNTFRTINCAN, source World Bank WDI"
