geo,geography_level,component,gender,age_group,period,start_year,end_year,value
Canada,country,births,Men+,All ages,2024 / 2025,2024,2025,189177.0
Canada,country,births,Women+,All ages,2024 / 2025,2024,2025,179751.0
Canada,country,deaths,Men+,All ages,2024 / 2025,2024,2025,174663.0
Canada,country,deaths,Women+,All ages,2024 / 2025,2024,2025,160036.0
Canada,country,immigrants,Men+,All ages,2024 / 2025,2024,2025,212711.0
Canada,country,immigrants,Women+,All ages,2024 / 2025,2024,2025,222710.0
Canada,country,emigrants,Men+,All ages,2024 / 2025,2024,2025,62103.0
Canada,country,emigrants,Women+,All ages,2024 / 2025,2024,2025,57913.0
Canada,country,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,27240.0
Canada,country,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,27404.0
Canada,country,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
Canada,country,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
Canada,country,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,0.0
Canada,country,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,0.0
Canada,country,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,0.0
Canada,country,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,0.0
Canada,country,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,-6802.0
Canada,country,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,-8152.0
Canada,country,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
Canada,country,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
Newfoundland and Labrador,province,births,Men+,All ages,2024 / 2025,2024,2025,1756.0
Newfoundland and Labrador,province,births,Women+,All ages,2024 / 2025,2024,2025,1662.0
Newfoundland and Labrador,province,deaths,Men+,All ages,2024 / 2025,2024,2025,3370.0
Newfoundland and Labrador,province,deaths,Women+,All ages,2024 / 2025,2024,2025,2977.0
Newfoundland and Labrador,province,immigrants,Men+,All ages,2024 / 2025,2024,2025,2807.0
Newfoundland and Labrador,province,immigrants,Women+,All ages,2024 / 2025,2024,2025,2666.0
Newfoundland and Labrador,province,emigrants,Men+,All ages,2024 / 2025,2024,2025,134.0
Newfoundland and Labrador,province,emigrants,Women+,All ages,2024 / 2025,2024,2025,132.0
Newfoundland and Labrador,province,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,62.0
Newfoundland and Labrador,province,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,63.0
Newfoundland and Labrador,province,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
Newfoundland and Labrador,province,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
Newfoundland and Labrador,province,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,-30.0
Newfoundland and Labrador,province,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,95.0
Newfoundland and Labrador,province,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,0.0
Newfoundland and Labrador,province,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,0.0
Newfoundland and Labrador,province,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,220.0
Newfoundland and Labrador,province,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,354.0
Newfoundland and Labrador,province,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
Newfoundland and Labrador,province,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"Avalon Peninsula, Newfoundland and Labrador",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,1083.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,949.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,1544.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,1410.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,2017.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,1920.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,118.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,94.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,55.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,48.0
"Avalon Peninsula, Newfoundland and Labrador",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"Avalon Peninsula, Newfoundland and Labrador",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"Avalon Peninsula, Newfoundland and Labrador",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,-302.0
