province,component,province_value,economic_region_sum,difference
Alberta,births,52446.0,52446.0,0.0
Alberta,deaths,33466.0,33466.0,0.0
Alberta,emigrants,14610.0,14610.0,0.0
Alberta,immigrants,58194.0,58194.0,0.0
Alberta,net_interprovincial_migration,28138.0,28138.0,0.0
Alberta,net_intraprovincial_migration,0.0,0.0,0.0
Alberta,net_non_permanent_residents,21519.0,21519.0,0.0
Alberta,net_temporary_emigration,0.0,0.0,0.0
Alberta,residual_deviation,0.0,0.0,0.0
Alberta,returning_emigrants,8095.0,8095.0,0.0
British Columbia,births,44371.0,44371.0,0.0
British Columbia,deaths,43902.0,43902.0,0.0
British Columbia,emigrants,25023.0,25023.0,0.0
British Columbia,immigrants,56203.0,56203.0,0.0
British Columbia,net_interprovincial_migration,-2392.0,-2392.0,0.0
British Columbia,net_intraprovincial_migration,0.0,0.0,0.0
British Columbia,net_non_permanent_residents,-12612.0,-12612.0,0.0
British Columbia,net_temporary_emigration,0.0,0.0,0.0
British Columbia,residual_deviation,0.0,0.0,0.0
British Columbia,returning_emigrants,9777.0,9777.0,0.0
Manitoba,births,15820.0,15820.0,0.0
Manitoba,deaths,12847.0,12847.0,0.0
Manitoba,emigrants,3095.0,3095.0,0.0
Manitoba,immigrants,21433.0,21433.0,0.0
Manitoba,net_interprovincial_migration,-4047.0,-4047.0,0.0
Manitoba,net_intraprovincial_migration,0.0,0.0,0.0
Manitoba,net_non_permanent_residents,-1332.0,-1332.0,0.0
Manitoba,net_temporary_emigration,0.0,0.0,0.0
Manitoba,residual_deviation,0.0,0.0,0.0
Manitoba,returning_emigrants,1626.0,1626.0,0.0
New Brunswick,births,6618.0,6618.0,0.0
New Brunswick,deaths,8888.0,8888.0,0.0
New Brunswick,emigrants,912.0,912.0,0.0
New Brunswick,immigrants,12532.0,12532.0,0.0
New Brunswick,net_interprovincial_migration,-186.0,-186.0,0.0
New Brunswick,net_intraprovincial_migration,0.0,0.0,0.0
New Brunswick,net_non_permanent_residents,1878.0,1878.0,0.0
New Brunswick,net_temporary_emigration,0.0,0.0,0.0
New Brunswick,residual_deviation,0.0,0.0,0.0
New Brunswick,returning_emigrants,347.0,347.0,0.0
Newfoundland and Labrador,births,3418.0,3418.0,0.0
Newfoundland and Labrador,deaths,6347.0,6347.0,0.0
Newfoundland and Labrador,emigrants,266.0,266.0,0.0
Newfoundland and Labrador,immigrants,5473.0,5473.0,0.0
Newfoundland and Labrador,net_interprovincial_migration,65.0,65.0,0.0
Newfoundland and Labrador,net_intraprovincial_migration,0.0,0.0,0.0
Newfoundland and Labrador,net_non_permanent_residents,574.0,574.0,0.0
Newfoundland and Labrador,net_temporary_emigration,0.0,0.0,0.0
Newfoundland and Labrador,residual_deviation,0.0,0.0,0.0
Newfoundland and Labrador,returning_emigrants,125.0,125.0,0.0
Northwest Territories,births,471.0,471.0,0.0
Northwest Territories,deaths,276.0,276.0,0.0
Northwest Territories,emigrants,86.0,86.0,0.0
Northwest Territories,immigrants,456.0,456.0,0.0
Northwest Territories,net_interprovincial_migration,-10.0,-10.0,0.0
Northwest Territories,net_intraprovincial_migration,0.0,0.0,0.0
Northwest Territories,net_non_permanent_residents,124.0,124.0,0.0
Northwest Territories,net_temporary_emigration,0.0,0.0,0.0
Northwest Territories,residual_deviation,0.0,0.0,0.0
Northwest Territories,returning_emigrants,14.0,14.0,0.0
Nova Scotia,births,7935.0,7935.0,0.0
Nova Scotia,deaths,11262.0,11262.0,0.0
Nova Scotia,emigrants,1905.0,1905.0,0.0
Nova Scotia,immigrants,10984.0,10984.0,0.0
Nova Scotia,net_interprovincial_migration,3226.0,3226.0,0.0
Nova Scotia,net_intraprovincial_migration,0.0,0.0,0.0
Nova Scotia,net_non_permanent_residents,841.0,841.0,0.0
Nova Scotia,net_temporary_emigration,0.0,0.0,0.0
Nova Scotia,residual_deviation,0.0,0.0,0.0
Nova Scotia,returning_emigrants,657.0,657.0,0.0
Nunavut,births,759.0,759.0,0.0
Nunavut,deaths,263.0,263.0,0.0
Nunavut,emigrants,0.0,0.0,0.0
Nunavut,immigrants,73.0,73.0,0.0
Nunavut,net_interprovincial_migration,-236.0,-236.0,0.0
Nunavut,net_intraprovincial_migration,0.0,0.0,0.0
Nunavut,net_non_permanent_residents,87.0,87.0,0.0
Nunavut,net_temporary_emigration,0.0,0.0,0.0
Nunavut,residual_deviation,0.0,0.0,0.0
Nunavut,returning_emigrants,0.0,0.0,0.0
Ontario,births,144954.0,144954.0,0.0
Ontario,deaths,124618.0,124618.0,0.0
Ontario,emigrants,55979.0,55979.0,0.0
Ontario,immigrants,190576.0,190576.0,0.0
Ontario,net_interprovincial_migration,-17779.0,-17779.0,0.0
Ontario,net_intraprovincial_migration,0.0,0.0,0.0
Ontario,net_non_permanent_residents,-48664.0,-48664.0,0.0
Ontario,net_temporary_emigration,0.0,0.0,0.0
Ontario,residual_deviation,0.0,0.0,0.0
Ontario,returning_emigrants,24973.0,24973.0,0.0
Prince Edward Island,births,1375.0,1375.0,0.0
Prince Edward Island,deaths,1620.0,1620.0,0.0
Prince Edward Island,emigrants,257.0,257.0,0.0
Prince Edward Island,immigrants,2843.0,2843.0,0.0
Prince Edward Island,net_interprovincial_migration,1043.0,1043.0,0.0
Prince Edward Island,net_intraprovincial_migration,0.0,0.0,0.0
Prince Edward Island,net_non_permanent_residents,-566.0,-566.0,0.0
Prince Edward Island,net_temporary_emigration,0.0,0.0,0.0
Prince Edward Island,residual_deviation,0.0,0.0,0.0
Prince Edward Island,returning_emigrants,130.0,130.0,0.0
Quebec,births,77171.0,77171.0,0.0
Quebec,deaths,79700.0,79700.0,0.0
Quebec,emigrants,15828.0,15828.0,0.0
Quebec,immigrants,57629.0,57629.0,0.0
Quebec,net_interprovincial_migration,-5095.0,-5095.0,0.0
Quebec,net_intraprovincial_migration,0.0,0.0,0.0
Quebec,net_non_permanent_residents,21030.0,21030.0,0.0
Quebec,net_temporary_emigration,0.0,0.0,0.0
Quebec,residual_deviation,0.0,0.0,0.0
Quebec,returning_emigrants,7616.0,7616.0,0.0
Saskatchewan,births,13147.0,13147.0,0.0
Saskatchewan,deaths,11172.0,11172.0,0.0
Saskatchewan,emigrants,2022.0,2022.0,0.0
Saskatchewan,immigrants,18199.0,18199.0,0.0
Saskatchewan,net_interprovincial_migration,-2506.0,-2506.0,0.0
Saskatchewan,net_intraprovincial_migration,0.0,0.0,0.0
Saskatchewan,net_non_permanent_residents,2191.0,2191.0,0.0
Saskatchewan,net_temporary_emigration,0.0,0.0,0.0
Saskatchewan,residual_deviation,0.0,0.0,0.0
Saskatchewan,returning_emigrants,1254.0,1254.0,0.0
Yukon,births,443.0,443.0,0.0
Yukon,deaths,338.0,338.0,0.0
Yukon,emigrants,33.0,33.0,0.0
Yukon,immigrants,826.0,826.0,0.0
Yukon,net_interprovincial_migration,-221.0,-221.0,0.0
Yukon,net_intraprovincial_migration,0.0,0.0,0.0
Yukon,net_non_permanent_residents,-24.0,-24.0,0.0
Yukon,net_temporary_emigration,0.0,0.0,0.0
Yukon,residual_deviation,0.0,0.0,0.0
Yukon,returning_emigrants,30.0,30.0,0.0

