age_group,fixed_outflow,empirical_outflow,difference
-1 year,0.0,0.0,0.0
0 to 4 years,0.2,0.2,0.0
5 to 9 years,0.2,0.2,0.0
10 to 14 years,0.2,0.2,0.0
15 to 19 years,0.2,0.2,0.0
20 to 24 years,0.2,0.2,0.0
25 to 29 years,0.2,0.2,0.0
30 to 34 years,0.2,0.2,0.0
35 to 39 years,0.2,0.2,0.0
40 to 44 years,0.2,0.2,0.0
45 to 49 years,0.2,0.2,0.0
50 to 54 years,0.2,0.2,0.0
55 to 59 years,0.2,0.2,0.0
60 to 64 years,0.2,0.2,0.0
65 to 69 years,0.2,0.2,0.0
70 to 74 years,0.2,0.2,0.0
75 to 79 years,0.2,0.2,0.0
80 to 84 years,0.2,0.2,0.0
85 to 89 years,0.2,0.2,0.0
90 to 94 years,0.2,0.2,0.0
95 to 99 years,0.2,0.2,0.0
100 years and older,0.2,0.2,0.0

