model,target,geo,rmse,mae,relative_rmse,n
fixed20_aging_only,P1_0_14,ALL,69767.15032661837,43835.703030303004,0.12352635553734485,33
fixed20_aging_only,P1_0_14,Alberta,75307.40452359241,75179.86666666658,0.08722895700053677,3
fixed20_aging_only,P1_0_14,British Columbia,55024.34965794684,54905.86666666662,0.07360575430295677,3
fixed20_aging_only,P1_0_14,Manitoba,20164.912616059923,20127.533333333315,0.07595070665182645,3
fixed20_aging_only,P1_0_14,New Brunswick,11234.745546443559,11203.866666666669,0.09340208739709929,3
fixed20_aging_only,P1_0_14,Newfoundland and Labrador,4879.0123932342385,4876.466666666663,0.07158700598979148,3
fixed20_aging_only,P1_0_14,Nova Scotia,11992.29999680349,11936.733333333317,0.08226638493012121,3
fixed20_aging_only,P1_0_14,Ontario,184345.32131865996,184077.46666666665,0.07821512029862654,3
fixed20_aging_only,P1_0_14,Prince Edward Island,2070.805640324556,2067.5999999999985,0.08225751974172009,3
fixed20_aging_only,P1_0_14,Quebec,99086.33041659508,98932.59999999993,0.07180075217612747,3
fixed20_aging_only,P1_0_14,Saskatchewan,18350.215539878543,18302.333333333332,0.07884991709703314,3
fixed20_aging_only,P1_0_14,Yukon,586.0349705151274,582.3999999999996,0.079873922654372,3
fixed20_aging_only,P2_15_64,ALL,117522.14990576825,62101.63030303012,0.0481291520247739,33
fixed20_aging_only,P2_15_64,Alberta,121567.83057909133,115936.2666666666,0.037178825147862554,3
fixed20_aging_only,P2_15_64,British Columbia,109774.34788978069,93664.33333333302,0.029262656094580636,3
fixed20_aging_only,P2_15_64,Manitoba,23475.26778122022,21555.79999999993,0.0242626556577286,3
fixed20_aging_only,P2_15_64,New Brunswick,16945.0149184551,16031.733333333317,0.03163667595531681,3
fixed20_aging_only,P2_15_64,Newfoundland and Labrador,6516.720672239955,6221.066666666632,0.01904087571399757,3
fixed20_aging_only,P2_15_64,Nova Scotia,21526.167015053994,20159.666666666628,0.0311588540364207,3
fixed20_aging_only,P2_15_64,Ontario,334727.9020966722,287348.599999999,0.03131120743612448,3
fixed20_aging_only,P2_15_64,Prince Edward Island,4595.753293349552,4344.46666666666,0.03940421751806597,3
fixed20_aging_only,P2_15_64,Quebec,106172.04640305859,97402.2666666663,0.018717179485081857,3
fixed20_aging_only,P2_15_64,Saskatchewan,20365.69943082398,19286.933333333272,0.025767254671210216,3
fixed20_aging_only,P2_15_64,Yukon,1283.8353165418052,1166.7999999999993,0.03929466566300824,3
fixed20_aging_only,P3_65plus,ALL,39577.71607496205,24150.212121212167,0.05561231086943109,33
fixed20_aging_only,P3_65plus,Alberta,18918.48450484345,18911.13333333338,0.025479211640986547,3
fixed20_aging_only,P3_65plus,British Columbia,35677.4133927896,35673.20000000003,0.0315986305613057,3
fixed20_aging_only,P3_65plus,Manitoba,9618.714360384492,9615.333333333343,0.038174247963574146,3
fixed20_aging_only,P3_65plus,New Brunswick,6976.9574314309875,6964.600000000006,0.03539279169393522,3
fixed20_aging_only,P3_65plus,Newfoundland and Labrador,4882.295537961628,4879.533333333336,0.03622266119761717,3
fixed20_aging_only,P3_65plus,Nova Scotia,9030.426638131052,9026.06666666668,0.03767177450064404,3
fixed20_aging_only,P3_65plus,Ontario,103968.2778164573,103951.40000000021,0.03507003198636122,3
fixed20_aging_only,P3_65plus,Prince Edward Island,1261.0745576689735,1259.7333333333324,0.03418071133784701,3
fixed20_aging_only,P3_65plus,Quebec,66892.69721745932,66890.20000000019,0.03509525224163314,3
fixed20_aging_only,P3_65plus,Saskatchewan,8202.27548915544,8201.600000000006,0.03752184578753632,3
fixed20_aging_only,P3_65plus,Yukon,280.0770132183886,279.5333333333335,0.039512393118042125,3
fixed20_aging_only,P_tot,ALL,146963.85560103238,81787.12121212091,0.03952473500267893,33
fixed20_aging_only,P_tot,Alberta,177009.76432295103,172205.0,0.036304849634349864,3
fixed20_aging_only,P_tot,British Columbia,128392.9990420034,112896.99999999937,0.022813327946323105,3
fixed20_aging_only,P_tot,Manitoba,33670.81002886616,32067.999999999924,0.022673701851607095,3
fixed20_aging_only,P_tot,New Brunswick,21317.881203346642,20271.0,0.024990892661356914,3
fixed20_aging_only,P_tot,Newfoundland and Labrador,6614.912143533477,6218.0,0.012133230961579996,3
fixed20_aging_only,P_tot,Nova Scotia,24731.633677000213,23070.333333333296,0.022977536221063,3
fixed20_aging_only,P_tot,Ontario,409280.66663761745,367474.6666666654,0.02556111685296108,3
fixed20_aging_only,P_tot,Prince Edward Island,5387.77891776069,5152.333333333324,0.03014985404454779,3
fixed20_aging_only,P_tot,Quebec,138043.98562535396,129444.66666666542,0.015409293422736128,3
fixed20_aging_only,P_tot,Saskatchewan,30380.08186844347,29387.666666666588,0.02446662829759823,3
fixed20_aging_only,P_tot,Yukon,1592.0599863070486,1469.6666666666667,0.03380361208646736,3
fixed20_aging_births,P1_0_14,ALL,17526.084761655304,11121.5818181818,0.03103084141047229,33
fixed20_aging_births,P1_0_14,Alberta,25564.663708851414,25038.199999999953,0.029611682483280537,3
fixed20_aging_births,P1_0_14,British Columbia,13017.495520004302,12139.533333333287,0.017413428470151763,3
fixed20_aging_births,P1_0_14,Manitoba,4693.183150059225,4494.533333333316,0.017676772693255086,3
fixed20_aging_births,P1_0_14,New Brunswick,4936.090162601704,4836.866666666664,0.041037077596584495,3
fixed20_aging_births,P1_0_14,Newfoundland and Labrador,1540.9841227821507,1527.1333333333362,0.02260999373167267,3
fixed20_aging_births,P1_0_14,Nova Scotia,4162.994252538254,4000.3999999999846,0.028557865274591174,3
fixed20_aging_births,P1_0_14,Ontario,44734.19283068967,43351.46666666664,0.018980087200944774,3
fixed20_aging_births,P1_0_14,Prince Edward Island,733.4162074384035,724.2666666666652,0.029133105003908828,3
fixed20_aging_births,P1_0_14,Quebec,21424.6991412559,20865.266666666605,0.01552494180601695,3
fixed20_aging_births,P1_0_14,Saskatchewan,5381.851821321976,5207.0,0.02312553599261774,3
fixed20_aging_births,P1_0_14,Yukon,169.7656816517006,152.73333333333298,0.023138296531511598,3
fixed20_aging_births,P2_15_64,ALL,117522.14990576825,62101.63030303012,0.0481291520247739,33
