operator,target,from_model,to_model,delta_rmse,rmse_before,rmse_after
fixed20,P1_0_14,fixed20_aging_only,fixed20_aging_births,-52241.065564963064,69767.15032661837,17526.084761655304
fixed20,P1_0_14,fixed20_aging_births,fixed20_aging_births_deaths,121.84725111241278,17526.084761655304,17647.932012767717
fixed20,P1_0_14,fixed20_aging_births_deaths,fixed20_aging_births_deaths_international,-13585.605852757528,17647.932012767717,4062.3261600101882
fixed20,P1_0_14,fixed20_aging_births_deaths_international,fixed20_aging_births_deaths_international_interprovincial,-1991.931102339308,4062.3261600101882,2070.3950576708803
fixed20,P2_15_64,fixed20_aging_only,fixed20_aging_births,0.0,117522.14990576825,117522.14990576825
fixed20,P2_15_64,fixed20_aging_births,fixed20_aging_births_deaths,7630.809524807875,117522.14990576825,125152.95943057613
fixed20,P2_15_64,fixed20_aging_births_deaths,fixed20_aging_births_deaths_international,-114510.34827478667,125152.95943057613,10642.611155789455
fixed20,P2_15_64,fixed20_aging_births_deaths_international,fixed20_aging_births_deaths_international_interprovincial,-4937.961252073086,10642.611155789455,5704.6499037163685
fixed20,P3_65plus,fixed20_aging_only,fixed20_aging_births,0.0,39577.71607496205,39577.71607496205
fixed20,P3_65plus,fixed20_aging_births,fixed20_aging_births_deaths,-37484.03530394914,39577.71607496205,2093.680771012913
fixed20,P3_65plus,fixed20_aging_births_deaths,fixed20_aging_births_deaths_international,2420.4625855539766,2093.680771012913,4514.143356566889
fixed20,P3_65plus,fixed20_aging_births_deaths_international,fixed20_aging_births_deaths_international_interprovincial,-514.0528311844719,4514.143356566889,4000.0905253824176
fixed20,P_tot,fixed20_aging_only,fixed20_aging_births,-44033.01266459278,146963.85560103238,102930.8429364396
fixed20,P_tot,fixed20_aging_births,fixed20_aging_births_deaths,38639.39120848356,102930.8429364396,141570.23414492316
fixed20,P_tot,fixed20_aging_births_deaths,fixed20_aging_births_deaths_international,-125623.97069259935,141570.23414492316,15946.263452323808
fixed20,P_tot,fixed20_aging_births_deaths_international,fixed20_aging_births_deaths_international_interprovincial,-15809.501883941111,15946.263452323808,136.7615683826969
empirical_transition,P1_0_14,empirical_transition_aging_only,empirical_transition_aging_births,-52241.065564963064,69767.15032661837,17526.084761655304
empirical_transition,P1_0_14,empirical_transition_aging_births,empirical_transition_aging_births_deaths,121.84725111241278,17526.084761655304,17647.932012767717
empirical_transition,P1_0_14,empirical_transition_aging_births_deaths,empirical_transition_aging_births_deaths_international,-13585.605852757528,17647.932012767717,4062.3261600101882
empirical_transition,P1_0_14,empirical_transition_aging_births_deaths_international,empirical_transition_aging_births_deaths_international_interprovincial,-1991.931102339308,4062.3261600101882,2070.3950576708803
empirical_transition,P2_15_64,empirical_transition_aging_only,empirical_transition_aging_births,0.0,117522.14990576825,117522.14990576825
empirical_transition,P2_15_64,empirical_transition_aging_births,empirical_transition_aging_births_deaths,7630.809524807875,117522.14990576825,125152.95943057613
empirical_transition,P2_15_64,empirical_transition_aging_births_deaths,empirical_transition_aging_births_deaths_international,-114510.34827478667,125152.95943057613,10642.611155789455
empirical_transition,P2_15_64,empirical_transition_aging_births_deaths_international,empirical_transition_aging_births_deaths_international_interprovincial,-4937.961252073086,10642.611155789455,5704.6499037163685
empirical_transition,P3_65plus,empirical_transition_aging_only,empirical_transition_aging_births,0.0,39577.71607496205,39577.71607496205
empirical_transition,P3_65plus,empirical_transition_aging_births,empirical_transition_aging_births_deaths,-37484.03530394914,39577.71607496205,2093.680771012913
empirical_transition,P3_65plus,empirical_transition_aging_births_deaths,empirical_transition_aging_births_deaths_international,2420.4625855539766,2093.680771012913,4514.143356566889
empirical_transition,P3_65plus,empirical_transition_aging_births_deaths_international,empirical_transition_aging_births_deaths_international_interprovincial,-514.0528311844719,4514.143356566889,4000.0905253824176
empirical_transition,P_tot,empirical_transition_aging_only,empirical_transition_aging_births,-44033.01266459278,146963.85560103238,102930.8429364396
empirical_transition,P_tot,empirical_transition_aging_births,empirical_transition_aging_births_deaths,38639.39120848356,102930.8429364396,141570.23414492316
empirical_transition,P_tot,empirical_transition_aging_births_deaths,empirical_transition_aging_births_deaths_international,-125623.97069259935,141570.23414492316,15946.263452323808
empirical_transition,P_tot,empirical_transition_aging_births_deaths_international,empirical_transition_aging_births_deaths_international_interprovincial,-15809.501883941111,15946.263452323808,136.7615683826969
