geo,gender,age_group,stage,population_pred,year,operator
Alberta,Men+,-1 year,after_aging,0.0,2022,fixed20
Alberta,Men+,0 to 4 years,after_aging,107124.8,2022,fixed20
Alberta,Men+,5 to 9 years,after_aging,142765.2,2022,fixed20
Alberta,Men+,10 to 14 years,after_aging,145014.40000000002,2022,fixed20
Alberta,Men+,15 to 19 years,after_aging,134579.0,2022,fixed20
Alberta,Men+,20 to 24 years,after_aging,138375.2,2022,fixed20
Alberta,Men+,25 to 29 years,after_aging,152111.4,2022,fixed20
Alberta,Men+,30 to 34 years,after_aging,170708.2,2022,fixed20
Alberta,Men+,35 to 39 years,after_aging,180093.40000000002,2022,fixed20
Alberta,Men+,40 to 44 years,after_aging,168174.2,2022,fixed20
Alberta,Men+,45 to 49 years,after_aging,150661.40000000002,2022,fixed20
Alberta,Men+,50 to 54 years,after_aging,139153.2,2022,fixed20
Alberta,Men+,55 to 59 years,after_aging,140363.0,2022,fixed20
Alberta,Men+,60 to 64 years,after_aging,137409.4,2022,fixed20
Alberta,Men+,65 to 69 years,after_aging,114911.0,2022,fixed20
Alberta,Men+,70 to 74 years,after_aging,86134.6,2022,fixed20
Alberta,Men+,75 to 79 years,after_aging,56793.6,2022,fixed20
Alberta,Men+,80 to 84 years,after_aging,35584.8,2022,fixed20
Alberta,Men+,85 to 89 years,after_aging,20987.0,2022,fixed20
Alberta,Men+,90 to 94 years,after_aging,9561.6,2022,fixed20
Alberta,Men+,95 to 99 years,after_aging,2687.6000000000004,2022,fixed20
Alberta,Men+,100 years and older,after_aging,468.0,2022,fixed20
Alberta,Women+,-1 year,after_aging,0.0,2022,fixed20
Alberta,Women+,0 to 4 years,after_aging,101898.40000000001,2022,fixed20
Alberta,Women+,5 to 9 years,after_aging,135285.0,2022,fixed20
Alberta,Women+,10 to 14 years,after_aging,136218.2,2022,fixed20
Alberta,Women+,15 to 19 years,after_aging,127092.20000000001,2022,fixed20
Alberta,Women+,20 to 24 years,after_aging,129895.2,2022,fixed20
Alberta,Women+,25 to 29 years,after_aging,145090.0,2022,fixed20
Alberta,Women+,30 to 34 years,after_aging,167627.80000000002,2022,fixed20
Alberta,Women+,35 to 39 years,after_aging,175939.00000000003,2022,fixed20
Alberta,Women+,40 to 44 years,after_aging,162221.2,2022,fixed20
Alberta,Women+,45 to 49 years,after_aging,144645.2,2022,fixed20
Alberta,Women+,50 to 54 years,after_aging,135009.6,2022,fixed20
Alberta,Women+,55 to 59 years,after_aging,138007.80000000002,2022,fixed20
Alberta,Women+,60 to 64 years,after_aging,135746.0,2022,fixed20
