model,rmse,mae,relative_rmse
fixed20_aging_births_deaths_international_interprovincial,136.7615683826969,75.42067262498644,3.6780912740553315e-05
empirical_transition_aging_births_deaths_international_interprovincial,136.7615683826969,75.42067262498644,3.6780912740553315e-05
empirical_transition_aging_births_deaths_international,15946.263452323808,9413.909090909327,0.00428861800514422
fixed20_aging_births_deaths_international,15946.263452323808,9413.909090909327,0.00428861800514422
last_slope,85872.02975711045,40309.27272727273,0.02309458476311306
empirical_transition_aging_births,102930.8429364396,52961.72727272715,0.02768241397877808
fixed20_aging_births,102930.8429364396,52961.72727272715,0.02768241397877808
empirical_transition_aging_births_deaths,141570.23414492316,79121.06060606032,0.03807416433082469
fixed20_aging_births_deaths,141570.23414492316,79121.06060606032,0.03807416433082469
fixed20_aging_only,146963.85560103238,81787.12121212091,0.03952473500267893
empirical_transition_aging_only,146963.85560103238,81787.12121212091,0.03952473500267893
last_value,146963.85560103276,81787.12121212122,0.039524735002679036
