target,from_model,to_model,delta_rmse,rmse_before,rmse_after
P1_0_14,real_single_age_aging_only,real_single_age_aging_births,-52169.9171702209,68413.74216040155,16243.824990180652
P1_0_14,real_single_age_aging_births,real_single_age_aging_births_deaths,120.98104845031048,16243.824990180652,16364.806038630963
P1_0_14,real_single_age_aging_births_deaths,real_single_age_aging_births_deaths_international,-11350.915557037433,16364.806038630963,5013.890481593529
P1_0_14,real_single_age_aging_births_deaths_international,real_single_age_aging_births_deaths_international_interprovincial,-1735.4694950099642,5013.890481593529,3278.420986583565
P2_15_64,real_single_age_aging_only,real_single_age_aging_births,0.0,115834.29555785302,115834.29555785302
P2_15_64,real_single_age_aging_births,real_single_age_aging_births_deaths,7594.201977579345,115834.29555785302,123428.49753543237
P2_15_64,real_single_age_aging_births_deaths,real_single_age_aging_births_deaths_international,-112640.83247292778,123428.49753543237,10787.66506250458
P2_15_64,real_single_age_aging_births_deaths_international,real_single_age_aging_births_deaths_international_interprovincial,-6823.4363908561545,10787.66506250458,3964.228671648426
P3_65plus,real_single_age_aging_only,real_single_age_aging_births,0.0,36208.10073140534,36208.10073140534
P3_65plus,real_single_age_aging_births,real_single_age_aging_births_deaths,-32863.688966140064,36208.10073140534,3344.4117652652817
P3_65plus,real_single_age_aging_births_deaths,real_single_age_aging_births_deaths_international,-1000.1839799123954,3344.4117652652817,2344.2277853528863
P3_65plus,real_single_age_aging_births_deaths_international,real_single_age_aging_births_deaths_international_interprovincial,-567.6340236746976,2344.2277853528863,1776.5937616781887
P_tot,real_single_age_aging_only,real_single_age_aging_births,-44033.01266459288,146963.85560103258,102930.8429364397
P_tot,real_single_age_aging_births,real_single_age_aging_births_deaths,38639.39120848369,102930.8429364397,141570.2341449234
P_tot,real_single_age_aging_births_deaths,real_single_age_aging_births_deaths_international,-125623.97069259972,141570.2341449234,15946.263452323676
P_tot,real_single_age_aging_births_deaths_international,real_single_age_aging_births_deaths_international_interprovincial,-15809.501883941284,15946.263452323676,136.76156838239194
