age_from,age_to,probability
0 to 4 years,0 to 4 years,0.8
0 to 4 years,5 to 9 years,0.2
5 to 9 years,5 to 9 years,0.8
5 to 9 years,10 to 14 years,0.2
10 to 14 years,10 to 14 years,0.8
10 to 14 years,15 to 19 years,0.2
15 to 19 years,15 to 19 years,0.8
15 to 19 years,20 to 24 years,0.2
20 to 24 years,20 to 24 years,0.8
20 to 24 years,25 to 29 years,0.2
25 to 29 years,25 to 29 years,0.8
25 to 29 years,30 to 34 years,0.2
30 to 34 years,30 to 34 years,0.8
30 to 34 years,35 to 39 years,0.2
35 to 39 years,35 to 39 years,0.8
35 to 39 years,40 to 44 years,0.2
40 to 44 years,40 to 44 years,0.8
40 to 44 years,45 to 49 years,0.2
45 to 49 years,45 to 49 years,0.8
45 to 49 years,50 to 54 years,0.2
50 to 54 years,50 to 54 years,0.8
50 to 54 years,55 to 59 years,0.2
55 to 59 years,55 to 59 years,0.8
55 to 59 years,60 to 64 years,0.2
60 to 64 years,60 to 64 years,0.8
60 to 64 years,65 to 69 years,0.2
65 to 69 years,65 to 69 years,0.8
65 to 69 years,70 to 74 years,0.2
70 to 74 years,70 to 74 years,0.8
70 to 74 years,75 to 79 years,0.2
75 to 79 years,75 to 79 years,0.8
75 to 79 years,80 to 84 years,0.2
80 to 84 years,80 to 84 years,0.8
80 to 84 years,85 to 89 years,0.2
85 to 89 years,85 to 89 years,0.8
85 to 89 years,90 to 94 years,0.2
90 to 94 years,90 to 94 years,0.8
90 to 94 years,95 to 99 years,0.2
95 to 99 years,95 to 99 years,0.8
95 to 99 years,100 years and older,0.2
100 years and older,100 years and older,1.0
