age_group,source,last_single_age,bin_population,last_age_population,outflow_fraction,fixed20_outflow,diff_vs_fixed20
0 to 4 years,9810002301_single_age_2021,4.0,1831195.0,390320.0,0.21315042909138568,0.2,0.013150429091385668
5 to 9 years,9810002301_single_age_2021,9.0,2054875.0,418685.0,0.2037520530445891,0.2,0.0037520530445890876
10 to 14 years,9810002301_single_age_2021,14.0,2126655.0,416195.0,0.19570405166799504,0.2,-0.004295948332004973
15 to 19 years,9810002301_single_age_2021,19.0,2012960.0,405125.0,0.20125834591844846,0.2,0.0012583459184484502
20 to 24 years,9810002301_single_age_2021,24.0,2202290.0,458250.0,0.20807886336495193,0.2,0.008078863364951921
25 to 29 years,9810002301_single_age_2021,29.0,2421550.0,498765.0,0.20596931717288514,0.2,0.005969317172885125
30 to 34 years,9810002301_single_age_2021,34.0,2518875.0,495640.0,0.19677038360379137,0.2,-0.00322961639620864
35 to 39 years,9810002301_single_age_2021,39.0,2511375.0,496715.0,0.19778607336618387,0.2,-0.0022139266338161434
40 to 44 years,9810002301_single_age_2021,44.0,2399440.0,466545.0,0.1944391191277965,0.2,-0.005560880872203522
45 to 49 years,9810002301_single_age_2021,49.0,2304200.0,463560.0,0.20118045308566965,0.2,0.001180453085669636
50 to 54 years,9810002301_single_age_2021,54.0,2368350.0,471040.0,0.1988895222412228,0.2,-0.0011104777587772063
55 to 59 years,9810002301_single_age_2021,59.0,2647315.0,529995.0,0.20020095832947724,0.2,0.00020095832947722436
60 to 64 years,9810002301_single_age_2021,64.0,2571620.0,492185.0,0.19139102977889424,0.2,-0.008608970221105766
65 to 69 years,9810002301_single_age_2021,69.0,2210995.0,402130.0,0.18187739004384904,0.2,-0.018122609956150976
70 to 74 years,9810002301_single_age_2021,74.0,1847570.0,352215.0,0.19063689061848807,0.2,-0.009363109381511941
75 to 79 years,9810002301_single_age_2021,79.0,1260955.0,212770.0,0.16873718729058532,0.2,-0.031262812709414695
80 to 84 years,9810002301_single_age_2021,84.0,840555.0,138135.0,0.16433784820743438,0.2,-0.03566215179256563
85 to 89 years,9810002301_single_age_2021,89.0,525470.0,84170.0,0.1601804099187394,0.2,-0.0398195900812606
90 to 94 years,9810002301_single_age_2021,94.0,258005.0,32790.0,0.12709056026046006,0.2,-0.07290943973953995
95 to 99 years,9810002301_single_age_2021,99.0,68405.0,5945.0,0.08690885169212777,0.2,-0.11309114830787224
-1 year,fixed_non_state,,,,0.0,0.0,0.0
100 years and older,open_interval_retained,100.0,9530.0,9530.0,0.0,0.2,-0.2
