age_from,age_to,probability
0 to 4 years,0 to 4 years,0.7868495709086143
0 to 4 years,5 to 9 years,0.21315042909138568
5 to 9 years,5 to 9 years,0.7962479469554109
5 to 9 years,10 to 14 years,0.2037520530445891
10 to 14 years,10 to 14 years,0.8042959483320049
10 to 14 years,15 to 19 years,0.19570405166799504
15 to 19 years,15 to 19 years,0.7987416540815515
15 to 19 years,20 to 24 years,0.20125834591844846
20 to 24 years,20 to 24 years,0.791921136635048
20 to 24 years,25 to 29 years,0.20807886336495193
25 to 29 years,25 to 29 years,0.7940306828271149
25 to 29 years,30 to 34 years,0.20596931717288514
30 to 34 years,30 to 34 years,0.8032296163962086
30 to 34 years,35 to 39 years,0.19677038360379137
35 to 39 years,35 to 39 years,0.8022139266338162
35 to 39 years,40 to 44 years,0.19778607336618387
40 to 44 years,40 to 44 years,0.8055608808722035
40 to 44 years,45 to 49 years,0.1944391191277965
45 to 49 years,45 to 49 years,0.7988195469143303
45 to 49 years,50 to 54 years,0.20118045308566965
50 to 54 years,50 to 54 years,0.8011104777587772
50 to 54 years,55 to 59 years,0.1988895222412228
55 to 59 years,55 to 59 years,0.7997990416705227
55 to 59 years,60 to 64 years,0.20020095832947724
60 to 64 years,60 to 64 years,0.8086089702211058
60 to 64 years,65 to 69 years,0.19139102977889424
65 to 69 years,65 to 69 years,0.8181226099561509
65 to 69 years,70 to 74 years,0.18187739004384904
70 to 74 years,70 to 74 years,0.8093631093815119
70 to 74 years,75 to 79 years,0.19063689061848807
75 to 79 years,75 to 79 years,0.8312628127094147
75 to 79 years,80 to 84 years,0.16873718729058532
80 to 84 years,80 to 84 years,0.8356621517925656
80 to 84 years,85 to 89 years,0.16433784820743438
85 to 89 years,85 to 89 years,0.8398195900812606
85 to 89 years,90 to 94 years,0.1601804099187394
90 to 94 years,90 to 94 years,0.8729094397395399
90 to 94 years,95 to 99 years,0.12709056026046006
95 to 99 years,95 to 99 years,0.9130911483078722
95 to 99 years,100 years and older,0.08690885169212777
100 years and older,100 years and older,1.0

