geo,gender,age_single,year,population
Newfoundland and Labrador,Men+,0,2021,1785.0
Newfoundland and Labrador,Women+,0,2021,1680.0
Prince Edward Island,Men+,0,2021,655.0
Prince Edward Island,Women+,0,2021,630.0
Nova Scotia,Men+,0,2021,3750.0
Nova Scotia,Women+,0,2021,3560.0
New Brunswick,Men+,0,2021,3125.0
New Brunswick,Women+,0,2021,2880.0
Quebec,Men+,0,2021,41095.0
Quebec,Women+,0,2021,38845.0
Ontario,Men+,0,2021,65655.0
Ontario,Women+,0,2021,62425.0
Manitoba,Men+,0,2021,8045.0
Manitoba,Women+,0,2021,7410.0
Saskatchewan,Men+,0,2021,6765.0
Saskatchewan,Women+,0,2021,6270.0
Alberta,Men+,0,2021,23745.0
Alberta,Women+,0,2021,22535.0
British Columbia,Men+,0,2021,20760.0
British Columbia,Women+,0,2021,19580.0
Yukon,Men+,0,2021,215.0
Yukon,Women+,0,2021,205.0
Northwest Territories,Men+,0,2021,290.0
Northwest Territories,Women+,0,2021,275.0
Nunavut,Men+,0,2021,510.0
Nunavut,Women+,0,2021,460.0
Newfoundland and Labrador,Men+,1,2021,1810.0
Newfoundland and Labrador,Women+,1,2021,1750.0
Prince Edward Island,Men+,1,2021,635.0
Prince Edward Island,Women+,1,2021,650.0
Nova Scotia,Men+,1,2021,4010.0
Nova Scotia,Women+,1,2021,3825.0
New Brunswick,Men+,1,2021,3220.0
New Brunswick,Women+,1,2021,2910.0
Quebec,Men+,1,2021,42835.0
Quebec,Women+,1,2021,40460.0
Ontario,Men+,1,2021,67635.0
Ontario,Women+,1,2021,64810.0
Manitoba,Men+,1,2021,7795.0
Manitoba,Women+,1,2021,7880.0
Saskatchewan,Men+,1,2021,6860.0
Saskatchewan,Women+,1,2021,6555.0
Alberta,Men+,1,2021,24755.0
Alberta,Women+,1,2021,23465.0
British Columbia,Men+,1,2021,21385.0
British Columbia,Women+,1,2021,20355.0
Yukon,Men+,1,2021,200.0
Yukon,Women+,1,2021,210.0
Northwest Territories,Men+,1,2021,275.0
Northwest Territories,Women+,1,2021,250.0
Nunavut,Men+,1,2021,440.0
Nunavut,Women+,1,2021,400.0
Newfoundland and Labrador,Men+,2,2021,1990.0
Newfoundland and Labrador,Women+,2,2021,1840.0
Prince Edward Island,Men+,2,2021,655.0
Prince Edward Island,Women+,2,2021,650.0
Nova Scotia,Men+,2,2021,4125.0
Nova Scotia,Women+,2,2021,3930.0
New Brunswick,Men+,2,2021,3325.0
New Brunswick,Women+,2,2021,3095.0
Quebec,Men+,2,2021,43165.0
Quebec,Women+,2,2021,41060.0
Ontario,Men+,2,2021,69940.0
Ontario,Women+,2,2021,66895.0
Manitoba,Men+,2,2021,8155.0
Manitoba,Women+,2,2021,7885.0
Saskatchewan,Men+,2,2021,7120.0
Saskatchewan,Women+,2,2021,6795.0
Alberta,Men+,2,2021,25665.0
Alberta,Women+,2,2021,24590.0
British Columbia,Men+,2,2021,21825.0
British Columbia,Women+,2,2021,20835.0
Yukon,Men+,2,2021,200.0
Yukon,Women+,2,2021,215.0
Northwest Territories,Men+,2,2021,270.0
Northwest Territories,Women+,2,2021,285.0
Nunavut,Men+,2,2021,420.0
Nunavut,Women+,2,2021,395.0
Newfoundland and Labrador,Men+,3,2021,1975.0
Newfoundland and Labrador,Women+,3,2021,1885.0
Prince Edward Island,Men+,3,2021,730.0
Prince Edward Island,Women+,3,2021,645.0
Nova Scotia,Men+,3,2021,4315.0
Nova Scotia,Women+,3,2021,4120.0
New Brunswick,Men+,3,2021,3360.0
New Brunswick,Women+,3,2021,3315.0
Quebec,Men+,3,2021,43960.0
Quebec,Women+,3,2021,42030.0
Ontario,Men+,3,2021,72395.0
Ontario,Women+,3,2021,68845.0
Manitoba,Men+,3,2021,8630.0
Manitoba,Women+,3,2021,7915.0
Saskatchewan,Men+,3,2021,7270.0
Saskatchewan,Women+,3,2021,7130.0
Alberta,Men+,3,2021,26540.0
Alberta,Women+,3,2021,25020.0
British Columbia,Men+,3,2021,23040.0
British Columbia,Women+,3,2021,22010.0
Yukon,Men+,3,2021,235.0
Yukon,Women+,3,2021,215.0
Northwest Territories,Men+,3,2021,340.0
