geo,gender,age_group,stage,population_pred,year,operator
Alberta,Men+,-1 year,after_aging,0.0,2023,fixed20
Alberta,Men+,0 to 4 years,after_aging,105205.6,2023,fixed20
Alberta,Men+,5 to 9 years,after_aging,143766.2,2023,fixed20
Alberta,Men+,10 to 14 years,after_aging,147594.2,2023,fixed20
Alberta,Men+,15 to 19 years,after_aging,139812.2,2023,fixed20
Alberta,Men+,20 to 24 years,after_aging,141308.6,2023,fixed20
Alberta,Men+,25 to 29 years,after_aging,153594.6,2023,fixed20
Alberta,Men+,30 to 34 years,after_aging,172054.40000000002,2023,fixed20
Alberta,Men+,35 to 39 years,after_aging,182240.80000000002,2023,fixed20
Alberta,Men+,40 to 44 years,after_aging,172722.4,2023,fixed20
Alberta,Men+,45 to 49 years,after_aging,153620.40000000002,2023,fixed20
Alberta,Men+,50 to 54 years,after_aging,141407.6,2023,fixed20
Alberta,Men+,55 to 59 years,after_aging,138087.0,2023,fixed20
Alberta,Men+,60 to 64 years,after_aging,137920.2,2023,fixed20
Alberta,Men+,65 to 69 years,after_aging,119819.8,2023,fixed20
Alberta,Men+,70 to 74 years,after_aging,89414.6,2023,fixed20
Alberta,Men+,75 to 79 years,after_aging,61187.8,2023,fixed20
Alberta,Men+,80 to 84 years,after_aging,37717.6,2023,fixed20
Alberta,Men+,85 to 89 years,after_aging,21522.0,2023,fixed20
Alberta,Men+,90 to 94 years,after_aging,9798.400000000001,2023,fixed20
Alberta,Men+,95 to 99 years,after_aging,2777.2000000000003,2023,fixed20
Alberta,Men+,100 years and older,after_aging,465.40000000000003,2023,fixed20
Alberta,Women+,-1 year,after_aging,0.0,2023,fixed20
Alberta,Women+,0 to 4 years,after_aging,100304.0,2023,fixed20
Alberta,Women+,5 to 9 years,after_aging,136304.0,2023,fixed20
Alberta,Women+,10 to 14 years,after_aging,138667.8,2023,fixed20
Alberta,Women+,15 to 19 years,after_aging,131688.0,2023,fixed20
Alberta,Women+,20 to 24 years,after_aging,132910.0,2023,fixed20
Alberta,Women+,25 to 29 years,after_aging,146363.6,2023,fixed20
Alberta,Women+,30 to 34 years,after_aging,168887.0,2023,fixed20
Alberta,Women+,35 to 39 years,after_aging,178459.0,2023,fixed20
Alberta,Women+,40 to 44 years,after_aging,167604.6,2023,fixed20
Alberta,Women+,45 to 49 years,after_aging,148165.40000000002,2023,fixed20
Alberta,Women+,50 to 54 years,after_aging,137086.0,2023,fixed20
Alberta,Women+,55 to 59 years,after_aging,136036.6,2023,fixed20
Alberta,Women+,60 to 64 years,after_aging,137547.6,2023,fixed20
Alberta,Women+,65 to 69 years,after_aging,121515.6,2023,fixed20
Alberta,Women+,70 to 74 years,after_aging,93856.0,2023,fixed20
Alberta,Women+,75 to 79 years,after_aging,66901.6,2023,fixed20
Alberta,Women+,80 to 84 years,after_aging,44571.2,2023,fixed20
Alberta,Women+,85 to 89 years,after_aging,29119.4,2023,fixed20
Alberta,Women+,90 to 94 years,after_aging,16643.0,2023,fixed20
Alberta,Women+,95 to 99 years,after_aging,6378.200000000001,2023,fixed20
Alberta,Women+,100 years and older,after_aging,1685.4,2023,fixed20
British Columbia,Men+,-1 year,after_aging,0.0,2023,fixed20
British Columbia,Men+,0 to 4 years,after_aging,91647.20000000001,2023,fixed20
British Columbia,Men+,5 to 9 years,after_aging,127331.00000000001,2023,fixed20
British Columbia,Men+,10 to 14 years,after_aging,134919.2,2023,fixed20
British Columbia,Men+,15 to 19 years,after_aging,142304.4,2023,fixed20
British Columbia,Men+,20 to 24 years,after_aging,166418.40000000002,2023,fixed20
British Columbia,Men+,25 to 29 years,after_aging,198667.60000000003,2023,fixed20
British Columbia,Men+,30 to 34 years,after_aging,209756.2,2023,fixed20
British Columbia,Men+,35 to 39 years,after_aging,200137.0,2023,fixed20
British Columbia,Men+,40 to 44 years,after_aging,180866.2,2023,fixed20
British Columbia,Men+,45 to 49 years,after_aging,162961.40000000002,2023,fixed20
British Columbia,Men+,50 to 54 years,after_aging,164214.0,2023,fixed20
British Columbia,Men+,55 to 59 years,after_aging,172152.6,2023,fixed20
British Columbia,Men+,60 to 64 years,after_aging,175665.60000000003,2023,fixed20
British Columbia,Men+,65 to 69 years,after_aging,161900.2,2023,fixed20
British Columbia,Men+,70 to 74 years,after_aging,137657.8,2023,fixed20
British Columbia,Men+,75 to 79 years,after_aging,101828.4,2023,fixed20
British Columbia,Men+,80 to 84 years,after_aging,64933.600000000006,2023,fixed20
British Columbia,Men+,85 to 89 years,after_aging,37397.2,2023,fixed20
British Columbia,Men+,90 to 94 years,after_aging,17520.800000000003,2023,fixed20
British Columbia,Men+,95 to 99 years,after_aging,5155.200000000001,2023,fixed20
British Columbia,Men+,100 years and older,after_aging,910.0,2023,fixed20
British Columbia,Women+,-1 year,after_aging,0.0,2023,fixed20
British Columbia,Women+,0 to 4 years,after_aging,87804.0,2023,fixed20
British Columbia,Women+,5 to 9 years,after_aging,121104.6,2023,fixed20
British Columbia,Women+,10 to 14 years,after_aging,126618.80000000002,2023,fixed20
British Columbia,Women+,15 to 19 years,after_aging,134708.80000000002,2023,fixed20
