alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
0.255,0.27,1957.9141716919976,1782.1596382719774,2579.6935829065624,2096.804956644075
0.235,0.245,1994.4680572669051,1844.927971605328,2428.158582906588,2331.834956644103
0.23,0.24,2023.6956879728987,1676.7029716053512,2985.673582906602,1822.819956644089
0.21,0.215,2030.8981163348187,1739.4713049386628,2834.1385829065694,2057.849956644117
0.26,0.275,2031.0598989732161,1950.3846382720124,2605.819956644089,2022.1785829066066
0.25,0.265,2031.1571525261045,1613.9346382720203,3137.2085829066345,1587.7899566441192
0.215,0.22,2044.9537455291338,1907.6963049386784,2566.864956644131,2276.6235829065554
0.19,0.19,2052.610080481572,1802.2396382720133,2682.6035829065368,2292.879956644145
0.17,0.165,2088.3790815383345,1865.0079716053442,2531.0685829066206,2527.9099566441146
0.24,0.25,2108.1767737659034,2013.1529716053435,2840.849956644117,1870.643582906574
0.195,0.195,2108.3706679327374,1970.46463827199,2801.8949566440424,2125.088582906639
0.165,0.16,2130.381719990278,1708.202721428456,3088.583582906518,2018.8949566441006
0.185,0.185,2136.618191357529,1715.3077214284567,3240.1185829065507,1783.8649566441309
0.15,0.14,2137.499542940076,1927.7763049386558,2762.9399566440843,2379.533582906588
0.145,0.135,2138.0770127027167,1759.5513049386598,2937.048582906602,2253.9249566440703
0.205,0.21,2156.6655699391367,1722.4127214284188,3391.653582906525,1548.834956644103
0.175,0.17,2183.5924499765683,2033.2329716053016,3036.9249566440703,1973.5535829066066
0.225,0.235,2190.1446362356764,1729.5177214284195,3543.1885829064995,1313.804956644075
0.22,0.225,2196.1494411412204,2075.921304938655,3075.879956644145,1719.1085829065414
0.265,0.28,2236.27561064635,2118.6096382720084,3114.834956644103,1776.33037526533
0.245,0.26,2236.4522657219986,1736.6227214284397,3694.723582906532,1078.774956644047
0.155,0.145,2269.4455631145474,2096.001304938652,3271.9549566440983,1822.018582906574
0.14,0.13,2271.0768838761364,1901.6560547618235,3494.5635829065577,1744.9099566441728
0.2,0.2,2293.7291663040696,2138.6896382720247,3310.909956644173,1567.573582906567
0.16,0.155,2302.1019181567353,1908.7610547617853,3646.0985829065903,1509.8799566440866
0.245,0.255,2344.1125552080284,2181.37797160532,3349.864956644131,1881.1403752652695
0.18,0.18,2345.4241264290135,1915.8660547617862,3797.6335829065647,1274.849956644117
0.135,0.12,2364.772378567536,2158.7696382720023,3506.984956644126,1670.4835829065414
0.18,0.175,2399.7442928430187,2201.457971605317,3545.9399566440843,1642.3953752652742
0.2,0.205,2400.3777799004197,1922.971054761787,3949.168582906539,1039.8199566441472
0.225,0.23,2459.3203935937827,2244.1463049386707,3584.894956644159,1985.9503752653254
0.22,0.23,2466.1854556772464,1930.0760547617683,4100.7035829065135,884.7346247346723
0.16,0.15,2513.127516832693,2264.2263049386675,3780.9699566441122,1747.20537526533
0.135,0.125,2515.5824368831913,2102.214388095114,4052.0785829065717,1235.8949566441006
