target_year,gender,population_source_start,population_target_start,aging_stay_from_target,aging_inflow_from_source,after_aging,deaths,net_international_migration,allocated_net_interprovincial,prediction,observed,residual,model,alpha_source_65_69,alpha_target_70_74
2023,Men+,273391.0,220283.0,178288.93382388758,49723.64154147793,228012.5753653655,4825.0,314.0,-70.7362896478284,223430.8390757177,224551.0,-1120.1609242823033,real_single_age,0.18187739004384904,0.19063689061848807
2023,Women+,282630.0,233935.0,189338.35899316397,51404.00674809305,240742.36574125703,3629.0,526.0,-80.95375370807028,237558.41198754896,238951.0,-1392.588012451044,real_single_age,0.18187739004384904,0.19063689061848807
2024,Men+,282438.0,224551.0,181743.29557472788,51369.086289204635,233112.3818639325,4869.0,346.0,-38.28863592513988,228551.09322800738,230770.0,-2218.9067719926243,real_single_age,0.18187739004384904,0.19063689061848807
2024,Women+,291699.0,238951.0,193398.12434982165,53053.45279840072,246451.57714822236,3667.0,515.0,-59.12598880956975,243240.4511594128,245549.0,-2308.548840587202,real_single_age,0.18187739004384904,0.19063689061848807
2025,Men+,288988.0,230770.0,186776.7247519715,52560.383193991845,239337.10794596333,4881.0,234.0,-34.86336747307081,234655.24457849027,238334.0,-3678.7554215097334,real_single_age,0.18187739004384904,0.19063689061848807
2025,Women+,298834.0,245549.0,198738.30214552087,54351.14797636358,253089.45012188444,3643.0,478.0,-44.31021543351581,249880.13990645093,253962.0,-4081.8600935490686,real_single_age,0.18187739004384904,0.19063689061848807
2023,Men+,273391.0,220283.0,176226.40000000002,54678.200000000004,230904.60000000003,4825.0,314.0,-70.7362896478284,226322.86371035222,224551.0,1771.8637103522196,fixed20,0.2,0.2
2023,Women+,282630.0,233935.0,187148.0,56526.0,243674.0,3629.0,526.0,-80.95375370807028,240490.04624629192,238951.0,1539.046246291924,fixed20,0.2,0.2
2024,Men+,282438.0,224551.0,179640.80000000002,56487.600000000006,236128.40000000002,4869.0,346.0,-38.28863592513988,231567.1113640749,230770.0,797.1113640748954,fixed20,0.2,0.2
2024,Women+,291699.0,238951.0,191160.80000000002,58339.8,249500.60000000003,3667.0,515.0,-59.12598880956975,246289.47401119047,245549.0,740.4740111904684,fixed20,0.2,0.2
2025,Men+,288988.0,230770.0,184616.0,57797.600000000006,242413.6,4881.0,234.0,-34.86336747307081,237731.73663252694,238334.0,-602.2633674730605,fixed20,0.2,0.2
2025,Women+,298834.0,245549.0,196439.2,59766.8,256206.0,3643.0,478.0,-44.31021543351581,252996.6897845665,253962.0,-965.3102154335065,fixed20,0.2,0.2
2023,Men+,273391.0,220283.0,160806.59,69714.705,230521.29499999998,4825.0,314.0,-70.7362896478284,225939.55871035217,224551.0,1388.5587103521684,best_grid_rmse,0.255,0.27
2023,Women+,282630.0,233935.0,170772.55,72070.65,242843.19999999998,3629.0,526.0,-80.95375370807028,239659.2462462919,238951.0,708.2462462919066,best_grid_rmse,0.255,0.27
2024,Men+,282438.0,224551.0,163922.23,72021.69,235943.92,4869.0,346.0,-38.28863592513988,231382.63136407488,230770.0,612.6313640748849,best_grid_rmse,0.255,0.27
2024,Women+,291699.0,238951.0,174434.22999999998,74383.245,248817.47499999998,3667.0,515.0,-59.12598880956975,245606.3490111904,245549.0,57.34901119041024,best_grid_rmse,0.255,0.27
2025,Men+,288988.0,230770.0,168462.1,73691.94,242154.04,4881.0,234.0,-34.86336747307081,237472.17663252694,238334.0,-861.8233674730582,best_grid_rmse,0.255,0.27
2025,Women+,298834.0,245549.0,179250.77,76202.67,255453.44,3643.0,478.0,-44.31021543351581,252244.1297845665,253962.0,-1717.8702154335042,best_grid_rmse,0.255,0.27
2023,Men+,273391.0,220283.0,161908.005,68347.75,230255.755,4825.0,314.0,-70.7362896478284,225674.0187103522,224551.0,1123.0187103521894,best_grid_mae,0.25,0.265
2023,Women+,282630.0,233935.0,171942.225,70657.5,242599.725,3629.0,526.0,-80.95375370807028,239415.77124629193,238951.0,464.77124629192986,best_grid_mae,0.25,0.265
2024,Men+,282438.0,224551.0,165044.985,70609.5,235654.485,4869.0,346.0,-38.28863592513988,231093.19636407486,230770.0,323.19636407485814,best_grid_mae,0.25,0.265
2024,Women+,291699.0,238951.0,175628.985,72924.75,248553.735,3667.0,515.0,-59.12598880956975,245342.60901119042,245549.0,-206.39098880958045,best_grid_mae,0.25,0.265
2025,Men+,288988.0,230770.0,169615.94999999998,72247.0,241862.94999999998,4881.0,234.0,-34.86336747307081,237181.08663252692,238334.0,-1152.9133674730838,best_grid_mae,0.25,0.265
2025,Women+,298834.0,245549.0,180478.51499999998,74708.5,255187.01499999998,3643.0,478.0,-44.31021543351581,251977.70478456648,253962.0,-1984.2952154335217,best_grid_mae,0.25,0.265
2023,Men+,273391.0,220283.0,176226.40000000002,62879.93,239106.33000000002,4825.0,314.0,-70.7362896478284,234524.5937103522,224551.0,9973.593710352201,high_source_fixed_target,0.23,0.2
2023,Women+,282630.0,233935.0,187148.0,65004.9,252152.9,3629.0,526.0,-80.95375370807028,248968.94624629192,238951.0,10017.946246291918,high_source_fixed_target,0.23,0.2
2024,Men+,282438.0,224551.0,179640.80000000002,64960.740000000005,244601.54000000004,4869.0,346.0,-38.28863592513988,240040.2513640749,230770.0,9270.25136407491,high_source_fixed_target,0.23,0.2
2024,Women+,291699.0,238951.0,191160.80000000002,67090.77,258251.57,3667.0,515.0,-59.12598880956975,255040.44401119044,245549.0,9491.44401119044,high_source_fixed_target,0.23,0.2
2025,Men+,288988.0,230770.0,184616.0,66467.24,251083.24,4881.0,234.0,-34.86336747307081,246401.37663252692,238334.0,8067.376632526924,high_source_fixed_target,0.23,0.2
2025,Women+,298834.0,245549.0,196439.2,68731.82,265171.02,3643.0,478.0,-44.31021543351581,261961.7097845665,253962.0,7999.709784566512,high_source_fixed_target,0.23,0.2
2023,Men+,273391.0,220283.0,180632.06000000003,54678.200000000004,235310.26000000004,4825.0,314.0,-70.7362896478284,230728.52371035222,224551.0,6177.523710352223,fixed_source_low_target,0.2,0.18
2023,Women+,282630.0,233935.0,191826.7,56526.0,248352.7,3629.0,526.0,-80.95375370807028,245168.74624629194,238951.0,6217.746246291936,fixed_source_low_target,0.2,0.18
2024,Men+,282438.0,224551.0,184131.82,56487.600000000006,240619.42,4869.0,346.0,-38.28863592513988,236058.13136407488,230770.0,5288.131364074885,fixed_source_low_target,0.2,0.18
2024,Women+,291699.0,238951.0,195939.82,58339.8,254279.62,3667.0,515.0,-59.12598880956975,251068.49401119043,245549.0,5519.494011190429,fixed_source_low_target,0.2,0.18
2025,Men+,288988.0,230770.0,189231.40000000002,57797.600000000006,247029.00000000003,4881.0,234.0,-34.86336747307081,242347.13663252696,238334.0,4013.136632526963,fixed_source_low_target,0.2,0.18
2025,Women+,298834.0,245549.0,201350.18000000002,59766.8,261116.98000000004,3643.0,478.0,-44.31021543351581,257907.66978456653,253962.0,3945.669784566533,fixed_source_low_target,0.2,0.18
