"Population estimates on July 1, by age and gender 1 2 3 4 5"
"Frequency: Annual"
"Table: 17-10-0005-01 (formerly CANSIM 051-0001)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Newfoundland and Labrador",,,,,,,,,,"Prince Edward Island",,,,,,,,,,"Nova Scotia",,,,,,,,,,"New Brunswick",,,,,,,,,,"Quebec",,,,,,,,,,"Ontario",,,,,,,,,,"Manitoba",,,,,,,,,,"Saskatchewan",,,,,,,,,,"Alberta",,,,,,,,,,"British Columbia",,,,,,,,,,"Yukon",,,,,,,,,,"Northwest Territories including Nunavut (Terminated) 7",,,,,,,,,,"Northwest Territories 8",,,,,,,,,,"Nunavut 8",,,,,,,,,
"Gender","Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,,"Men+",,,,,"Women+",,,,
"Age group 3 6","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0 to 4 years","10,174","10,041","9,859","9,572","9,433","9,613","9,544","9,317","9,151","8,930","3,614","3,615","3,603","3,664","3,688","3,498","3,559","3,551","3,590","3,530","21,448","21,563","21,565","21,460","21,179","20,592","20,595","20,518","20,394","20,132","17,048","17,188","17,385","17,652","17,612","16,251","16,267","16,346","16,488","16,618","219,044","218,495","217,222","214,881","211,146","206,505","206,415","205,210","203,725","200,779","368,120","365,599","363,947","366,409","369,322","352,096","349,742","347,955","349,513","351,264","43,002","42,204","41,549","41,313","41,136","41,329","40,567","40,119","39,676","39,162","37,070","36,338","35,992","35,708","35,161","35,245","34,590","34,211","33,921","33,514","133,906","131,507","131,598","133,232","134,740","127,373","125,380","125,636","126,854","128,183","115,757","114,559","112,430","111,503","111,216","111,250","109,755","107,305","106,273","105,694","1,152","1,140","1,146","1,182","1,190","1,158","1,103","1,105","1,095","1,075","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,578","1,515","1,391","1,330","1,291","1,436","1,383","1,287","1,214","1,174","2,363","2,299","2,255","2,170","2,065","2,261","2,229","2,156","2,055","1,950"
"5 to 9 years","11,849","11,924","12,037","12,085","12,006","11,337","11,356","11,495","11,553","11,450","4,242","4,369","4,443","4,462","4,394","4,008","4,058","4,090","4,114","4,141","24,352","24,838","25,506","26,156","25,852","23,304","23,943","24,586","24,899","24,539","19,586","20,019","20,709","21,374","21,488","18,895","19,412","20,098","20,655","20,533","239,912","240,168","240,432","241,706","240,493","228,267","227,744","228,330","228,865","226,916","400,293","402,965","408,363","415,013","412,230","379,662","382,394","387,922","394,560","393,453","45,725","46,198","47,059","47,742","47,062","42,606","43,211","44,113","45,132","45,073","39,782","39,998","40,748","41,558","41,177","37,566","37,943","39,027","39,753","39,510","144,980","146,831","150,652","155,182","155,517","137,263","139,035","142,534","147,192","147,630","128,042","130,524","132,391","133,064","130,432","121,257","123,942","125,796","126,687","124,456","1,257","1,243","1,272","1,295","1,298","1,168","1,205","1,236","1,301","1,287","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,482","1,503","1,514","1,503","1,483","1,488","1,473","1,465","1,467","1,436","2,126","2,243","2,250","2,283","2,316","2,116","2,153","2,180","2,179","2,178"
"10 to 14 years","13,393","13,197","13,220","13,357","13,281","12,483","12,533","12,509","12,561","12,649","4,478","4,583","4,671","4,757","4,871","4,405","4,498","4,549","4,696","4,710","25,423","26,219","26,835","27,478","27,796","23,661","24,609","25,469","26,251","26,707","20,561","21,147","21,848","22,748","23,374","19,682","20,445","21,215","22,155","22,553","240,602","244,876","249,967","253,443","254,353","230,010","234,337","238,421","241,535","242,630","416,274","419,881","424,740","431,855","434,467","390,905","394,876","400,314","408,446","410,931","44,788","45,458","46,805","47,888","48,720","42,159","42,745","43,816","44,831","45,304","39,696","40,476","41,807","42,842","43,576","37,216","37,795","38,882","40,043","40,740","145,023","147,785","151,869","157,049","160,189","135,957","138,576","142,834","147,910","151,190","133,693","136,018","138,493","140,688","141,011","124,473","127,288","129,746","132,415","133,065","1,220","1,310","1,330","1,332","1,314","1,083","1,116","1,153","1,185","1,215","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,467","1,435","1,430","1,430","1,423","1,482","1,501","1,478","1,452","1,427","1,912","1,916","1,957","2,005","2,026","1,970","2,017","2,028","2,086","2,106"
"15 to 19 years","13,480","14,026","14,289","14,411","14,661","12,636","12,860","13,140","13,491","13,655","4,447","4,678","4,919","5,123","5,097","4,487","4,680","4,874","5,025","5,068","25,248","26,067","27,227","27,894","28,420","23,659","24,128","25,173","25,862","26,222","20,105","21,076","22,157","23,096","23,536","19,171","19,981","20,895","21,636","22,437","218,660","225,890","235,062","245,527","251,519","211,061","217,369","225,721","234,609","240,686","426,179","443,227","461,703","474,922","465,255","398,540","413,027","428,358","439,377","433,722","43,457","44,308","46,204","47,977","48,188","39,906","41,119","43,133","44,483","45,255","36,158","37,127","39,088","41,030","42,037","33,494","34,503","36,505","38,262","39,449","131,968","137,819","145,472","154,989","158,528","124,876","129,966","136,464","145,088","148,882","135,802","143,876","149,599","156,195","153,963","128,414","136,564","141,528","146,277","143,907","1,129","1,183","1,223","1,282","1,312","1,047","1,068","1,101","1,112","1,117","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,368","1,419","1,423","1,425","1,449","1,354","1,347","1,349","1,348","1,419","1,629","1,680","1,696","1,725","1,771","1,700","1,751","1,782","1,798","1,838"
"20 to 24 years","14,837","15,191","15,578","16,062","15,924","13,534","13,786","14,093","14,582","14,502","6,258","6,550","7,216","7,446","7,331","5,903","6,282","7,007","7,290","7,008","33,142","33,807","34,761","36,558","35,477","29,695","30,390","30,959","33,144","32,169","23,010","23,635","24,277","26,000","25,920","21,222","21,971","22,480","24,036","24,047","248,260","247,872","254,255","265,158","264,258","233,516","235,100","238,621","245,795","245,714","516,635","539,339","580,341","624,191","602,414","472,255","489,099","519,638","547,315","532,808","54,273","56,853","58,724","59,412","57,653","46,801","48,779","50,559","51,736","50,809","37,532","37,913","39,886","43,361","44,268","34,379","34,737","35,936","38,786","39,505","139,977","142,181","150,085","163,340","169,210","131,150","133,646","141,358","152,106","155,617","169,773","172,054","181,331","194,201","191,863","163,687","167,361","173,991","181,586","177,555","1,244","1,253","1,336","1,616","1,643","1,227","1,285","1,326","1,524","1,535","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,501","1,458","1,437","1,596","1,651","1,380","1,393","1,454","1,583","1,594","1,639","1,654","1,650","1,670","1,654","1,568","1,567","1,596","1,622","1,651"
"25 to 29 years","14,248","14,370","15,051","15,923","16,133","13,281","13,246","13,721","14,511","14,853","5,426","5,845","6,608","7,641","8,161","5,035","5,324","5,929","6,658","7,343","34,123","35,632","37,960","41,415","42,491","31,877","32,910","34,713","36,888","37,950","23,249","24,116","25,183","27,198","28,118","21,832","22,426","23,222","24,879","25,637","287,925","286,241","292,484","299,995","294,128","269,178","266,901","269,787","273,074","269,540","572,125","601,163","646,468","678,109","658,216","521,991","544,841","582,978","613,419","601,562","52,777","54,726","58,628","62,304","64,591","46,943","48,077","50,676","53,677","55,230","39,402","39,440","40,491","42,991","44,782","36,435","36,235","37,209","39,056","40,233","155,145","156,448","166,298","179,299","183,738","148,575","149,543","157,856","170,597","175,208","198,460","205,321","216,329","220,374","210,387","186,513","194,649","205,576","212,542","206,088","1,537","1,589","1,753","1,907","1,978","1,613","1,680","1,791","1,928","2,011","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,901","1,907","1,955","2,056","2,141","1,702","1,705","1,688","1,714","1,807","1,683","1,657","1,652","1,692","1,719","1,679","1,635","1,640","1,640","1,602"
"30 to 34 years","14,730","14,988","15,523","15,958","15,948","14,524","14,725","15,088","15,512","15,343","4,724","5,001","5,466","5,864","6,105","5,072","5,204","5,468","5,754","5,904","31,941","33,721","36,598","38,681","39,150","31,495","33,451","35,899","37,871","38,310","22,763","23,779","25,301","27,149","27,685","22,574","23,626","25,289","26,958","27,409","285,163","296,451","314,001","329,713","330,418","274,604","282,816","294,686","305,023","304,690","542,798","570,277","618,179","659,278","670,747","521,909","544,349","581,280","616,823","626,750","50,317","51,332","54,202","56,921","58,231","47,316","48,182","50,252","52,325","53,117","42,200","42,060","43,451","45,137","44,954","40,672","40,379","41,548","42,592","42,466","174,599","175,956","185,944","196,825","199,110","172,391","173,723","183,145","192,874","194,552","200,289","210,865","225,507","235,726","235,886","192,989","203,362","216,067","226,675","227,224","1,867","1,894","1,992","2,129","2,120","1,925","1,996","2,087","2,243","2,251","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,931","1,980","2,011","2,042","2,108","1,906","1,908","1,857","1,884","1,900","1,716","1,703","1,686","1,659","1,670","1,589","1,636","1,611","1,619","1,676"
"35 to 39 years","15,198","15,323","15,803","16,162","16,458","15,530","15,483","16,031","16,325","16,635","4,629","4,849","5,077","5,459","5,674","5,024","5,286","5,478","5,811","6,035","30,156","31,819","33,604","35,580","36,959","30,616","31,898","33,556","35,398","36,657","23,561","24,432","25,654","27,159","27,847","24,063","24,940","26,103","27,509","28,042","287,517","286,815","294,385","306,253","313,749","279,112","278,628","281,922","288,969","295,143","502,852","520,197","548,482","584,071","606,278","501,893","515,155","535,225","563,585","580,290","48,487","49,338","51,387","53,673","55,026","46,408","47,045","49,296","51,236","52,224","42,383","42,895","44,922","46,730","47,373","41,167","42,056","43,736","45,906","46,628","181,467","183,812","192,288","203,056","208,256","176,826","179,643","187,478","198,053","203,404","190,377","197,455","206,979","217,025","222,030","186,180","192,885","201,628","211,686","216,675","1,842","1,893","1,988","2,120","2,127","1,890","1,987","2,074","2,191","2,252","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","1,742","1,723","1,736","1,771","1,880","1,636","1,639","1,690","1,766","1,848","1,339","1,392","1,446","1,534","1,587","1,266","1,310","1,342","1,404","1,446"
