"Estimates of the components of demographic growth, annual 1"
"Frequency: Annual"
"Table: 17-10-0008-01 (formerly CANSIM 051-0004)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Newfoundland and Labrador",,,,,"Prince Edward Island",,,,,"Nova Scotia",,,,,"New Brunswick",,,,,"Quebec",,,,,"Ontario",,,,,"Manitoba",,,,,"Saskatchewan",,,,,"Alberta",,,,,"British Columbia",,,,,"Yukon",,,,,"Northwest Territories including Nunavut 2",,,,,"Northwest Territories 3",,,,,"Nunavut 3",,,,
"Components of population growth","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Births 4 5","3,694","3,795","3,315","3,315","3,418","1,412","1,393","1,275","1,380","1,375","7,683","7,939","7,938","7,936","7,935","6,281","6,379","6,145","6,338","6,618","82,096","83,516","79,108","77,923","77,171","136,824","138,939","135,463","141,761","144,954","16,532","15,789","15,482","15,597","15,820","14,048","13,664","13,042","13,097","13,147","49,155","48,110","47,951","50,028","52,446","42,902","43,013","41,210","42,718","44,371","446","444","421","425","443","..","..","..","..","..","575","552","467","494","471","915","916","859","758","759"
"Deaths 6 7","5,451","6,292","6,281","6,222","6,347","1,395","1,550","1,649","1,589","1,620","9,956","10,840","11,189","11,065","11,262","7,633","8,795","8,977","8,738","8,888","69,722","73,720","78,294","79,282","79,700","116,593","120,679","123,494","122,060","124,618","12,000","12,817","12,712","12,643","12,847","10,693","11,263","11,052","11,037","11,172","30,260","32,302","32,453","32,510","33,466","42,787","45,727","45,508","44,487","43,902","311","368","319","335","338","..","..","..","..","..","295","303","290","271","276","201","223","231","257","263"
"Immigrants 8","884","2,841","5,337","5,333","5,473","1,209","3,439","3,116","4,147","2,843","3,552","13,838","12,305","13,765","10,984","2,688","8,410","11,021","14,975","12,532","33,671","62,805","64,475","55,455","57,629","107,908","227,424","199,332","197,689","190,576","10,179","21,343","25,602","23,589","21,433","7,353","16,291","26,130","24,180","18,199","24,022","52,560","54,311","60,287","58,194","34,383","83,222","66,280","63,606","56,203","300","664","677","895","826","..","..","..","..","..","144","346","282","366","456","21","53","45","57","73"
"Net emigration 9 10","147","175","145","138","141","44","71","111","124","127","141","409","1,110","1,212","1,248","77","284","560","548","565","2,704","5,062","7,594","7,972","8,212","10,540","22,249","29,614","30,095","31,006","1,124","1,957","1,631","1,425","1,469","783","917","819","746","768","4,578","6,304","6,374","6,324","6,515","5,513","9,733","13,669","14,797","15,246","91","44","9","2","3","..","..","..","..","..","-16","30","61","69","72","0","18","12","0","0"
"Emigrants 10 11 12","336","375","270","259","266","125","184","227","250","257","783","1,271","1,690","1,849","1,905","521","814","905","885","912","9,897","13,687","14,687","15,363","15,828","29,597","46,048","53,395","54,333","55,979","2,310","3,415","3,314","3,003","3,095","1,348","2,001","2,058","1,963","2,022","9,638","13,623","14,150","14,181","14,610","11,959","18,180","22,462","24,287","25,023","93","96","43","32","33","..","..","..","..","..","16","39","71","83","86","4","23","19","0","0"
"Returning emigrants 10 12 13","189","200","125","121","125","81","113","116","126","130","642","862","580","637","657","444","530","345","337","347","7,193","8,625","7,093","7,391","7,616","19,057","23,799","23,781","24,238","24,973","1,186","1,458","1,683","1,578","1,626","565","1,084","1,239","1,217","1,254","5,060","7,319","7,776","7,857","8,095","6,446","8,447","8,793","9,490","9,777","2","52","34","30","30","..","..","..","..","..","32","9","10","14","14","4","5","7","0","0"
"Net temporary emigration 10 12 14","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Net non-permanent residents 15 16 17","-459","2,230","4,246","4,701","574","979","148","2,432","1,176","-566","-1,007","1,897","14,038","11,499","841","1,467","4,460","9,554","9,744","1,878","-13,647","36,933","104,371","134,404","21,030","-26,075","120,931","324,688","367,710","-48,664","479","6,667","22,891","22,223","-1,332","-295","2,803","10,816","15,170","2,191","-4,499","13,490","73,002","100,579","21,519","-8,845","35,336","104,750","112,905","-12,612","168","-75","530","521","-24","..","..","..","..","..","8","-74","169","344","124","7","-31","38","99","87"
"Non-permanent residents, inflows 17 18","..","5,073","7,765","8,408","5,973","..","3,197","4,797","4,807","2,924","..","14,581","23,652","24,347","15,658","..","10,415","15,637","19,695","12,971","..","129,689","195,343","228,360","153,966","..","326,739","479,698","563,494","259,076","..","17,788","34,374","35,047","19,037","..","9,723","18,073","23,285","14,757","..","45,847","98,523","131,163","75,067","..","133,360","188,321","211,140","115,407","..","559","1,057","1,242","805","..","..","..","..","..","..","155","286","476","367","..","36","75","189","152"
"Non-permanent residents, outflows 19","..","2,843","3,519","3,707","5,399","..","3,049","2,365","3,631","3,490","..","12,684","9,614","12,848","14,817","..","5,955","6,083","9,951","11,093","..","92,756","90,972","93,956","132,936","..","205,808","155,010","195,784","307,740","..","11,121","11,483","12,824","20,369","..","6,920","7,257","8,115","12,566","..","32,357","25,521","30,584","53,548","..","98,024","83,571","98,235","128,019","..","634","527","721","829","..","..","..","..","..","..","229","117","132","243","..","67","37","90","65"
"Net interprovincial migration 20","527","1,802","1,060","1,091","65","1,220","1,708","1,471","985","1,043","8,900","11,701","6,989","8,841","3,226","4,590","7,897","5,051","5,419","-186","-2,944","-6,529","-10,333","-6,750","-5,095","-18,405","-31,018","-29,730","-42,689","-17,779","-2,804","-7,451","-9,928","-8,399","-4,047","-7,174","-9,493","-6,656","-3,053","-2,506","-9,458","5,646","39,408","48,394","28,138","25,376","26,069","3,388","-4,127","-2,392","517","287","250","672","-221","..","..","..","..","..","-176","-439","-584","-221","-10","-169","-180","-386","-163","-236"
"Residual deviation 21","1,124","..","..","..","..","-441","..","..","..","..","1,709","..","..","..","..","54","..","..","..","..","-5,825","..","..","..","..","7,558","..","..","..","..","530","..","..","..","..","-2,131","..","..","..","..","-346","..","..","..","..","5,048","..","..","..","..","-26","..","..","..","..","..","..","..","..","..","-197","..","..","..","..","34","..","..","..",".."

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Period from July 1 to June 30."
2,"Data for Northwest Territories and Nunavut are presented separately from 1991/1992."
3,"Prior to 1991/1992, only data for Northwest Territories and Nunavut combined are available."
4,"The number of births is final up to 2020/2021, updated for 2021/2022, 2022/2023 and 2023/2024, and preliminary for 2024/2025."
5,"Starting in January 2025, estimates of births are produced by the Centre for Demography, Statistics Canada (See Definitions, data sources and methods record number 3601). Before January 2025, data are from Vital Statistics – Birth and Death Databases, Statistics Canada (See Definitions, data sources and methods record number 3231). However, before January 2010, the final estimates included in this table may differ from vital statistics already released by Statistics Canada, due to the imputation of certain unknown values (province or territory). Births estimates may be adjusted to account for incomplete birth data."
6,"The number of deaths is final up to 2020/2021, updated for 2021/2022, 2022/2023 and 2023/2024, and preliminary for 2024/2025."
7,"Starting in January 2024, estimates of deaths are produced by the Centre for Demography, Statistics Canada (See Definitions, data sources and methods record number 3601), incorporating provisional deaths data from the Centre for Population Health Data. Before January 2024, data are from Vital Statistics – Birth and Death Databases, Statistics Canada (See Definitions, data sources and methods record number 3233). However, before January 2013, the estimates included in this table may differ from vital statistics already released by Statistics Canada, due to the imputation of certain unknown values (province or territory). Deaths estimates may be adjusted to account for incomplete death data."
8,"The number of immigrants is final up to 2023/2024 and preliminary for 2024/2025."
9,"Net emigration is obtained as follows: Emigrants - Returning emigrants. For estimates from 1991 to June 2016, net emigration is obtained as follows: Emigrants + Net temporary emigration - Returning emigrants."
10,"The estimated numbers of emigrants and returning emigrants have been revised going back to July 2016. Before this date, short-term emigrants and short-term returning emigrants were included in the “net temporary emigration” component. After this date, they are included in the emigrant and returning emigrant components, using a slightly different methodology. Due to this change, the net temporary emigration component is no longer calculated from July 2016 onwards."
11,"The number of emigrants is final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025."
12,"Please note that due to the methodology used for the estimates of emigrants and returning emigrants, the estimates for the most recent periods are expected to be identical or very similar."
13,"The number of returning emigrants is final up to 2022/2023, updated for 2023/2024 and preliminary for 2024/2025."
14,"The net temporary emigrants is final up to 2015/2016."
15,"A non-permanent resident refers to a person from another country with a usual place of residence in Canada and who has a work or study permit or who has claimed refugee status (asylum claimant, protected person or member of related groups). Family members living with work or study permit holders are also included unless these family members are already Canadian citizens, landed immigrants (permanent residents), or non-permanent residents themselves."
16,"The net non-permanent residents is final up to 2022/2023, updated for 2023/2024, and preliminary for 2024/2025."
17,"These estimates of the net non-permanent residents (NPRs) are derived from estimates of the number of NPRs. The NPR estimates differ from the number of asylum claimants and temporary residents provided by Immigration, Refugees and Citizenship Canada (IRCC). Care should be taken to consider the differences in methods and reference dates when comparing data from IRCC with Statistics Canada demographic estimates. The two data sources are not fully comparable."
18,"The number of people entering Canada to work, study or claim asylum status along with their family members who are not Canadian citizens or landed immigrants (permanent residents)."
19,"The number of work and study permit holders leaving Canada, along with their family members who are not Canadian citizens or landed immigrants (permanent residents). This also includes permit holders as well as asylum claimants, protected persons and members of related groups staying in Canada who have been granted permanent resident status. In this case, these persons will be added to the immigration component. Asylum claimants, protected persons and members of related groups who have had their status revoked will be counted as an outflow."
20,"The net interprovincial migration is final up to 2023/2024 and preliminary for 2024/2025."
21,"Residual deviation is obtained by linearly distributing the opposite value of the error of closure throughout the intercensal period. The error of closure is defined as the difference between the postcensal population estimate on Census Day and the population enumerated in that census adjusted for census net undercoverage and incompletely enumerated reserves and settlements. A positive residual deviation means that the postcensal population estimate on Census Day is less than the adjusted population enumerated in that census. A negative residual deviation means that the postcensal population estimate on Census Day is greater than the adjusted population enumerated in that census."



"How to cite: Statistics Canada. Table 17-10-0008-01  Estimates of the components of demographic growth, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000801
