"Estimates of the components of interprovincial migration, by age and gender, annual 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0015-01 (formerly CANSIM 051-0012)"
"Release date: 2025-09-24"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gender","Total - gender",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Migrants","In-migrants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Age group 4 8 9","1980 / 1981","1981 / 1982","1982 / 1983","1983 / 1984","1984 / 1985","1985 / 1986","1986 / 1987","1987 / 1988","1988 / 1989","1989 / 1990","1990 / 1991","1991 / 1992","1992 / 1993","1993 / 1994","1994 / 1995","1995 / 1996","1996 / 1997","1997 / 1998","1998 / 1999","1999 / 2000","2000 / 2001","2001 / 2002","2002 / 2003","2003 / 2004","2004 / 2005","2005 / 2006","2006 / 2007","2007 / 2008","2008 / 2009","2009 / 2010","2010 / 2011","2011 / 2012","2012 / 2013","2013 / 2014","2014 / 2015","2015 / 2016","2016 / 2017","2017 / 2018","2018 / 2019","2019 / 2020","2020 / 2021","2021 / 2022","2022 / 2023","2023 / 2024","2024 / 2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","382,932","357,919","305,486","279,372","270,565","287,260","302,602","322,375","327,700","356,807","316,567","316,659","303,294","289,391","285,464","291,764","292,873","309,234","276,930","285,817","269,220","290,490","274,899","261,380","285,544","285,868","305,062","301,237","277,846","259,234","257,085","280,347","261,295","275,059","283,809","277,029","260,393","260,751","254,143","284,782","250,297","348,777","343,079","331,951","283,508"
"-1 year 10","1,385","1,183","1,000","990","968","1,027","1,168","1,262","1,139","1,272","1,119","5,933","5,725","5,086","5,107","5,176","4,878","4,904","4,177","4,278","3,943","1,857","1,766","1,634","1,755","1,684","2,263","2,272","2,002","1,860","1,838","2,259","2,043","2,136","2,157","2,102","1,870","1,885","1,831","1,984","1,697","1,477","1,331","1,367","1,151"
"0 to 4 years","28,550","26,097","21,874","20,328","20,075","21,216","23,872","25,797","23,614","26,345","23,067","28,667","27,393","24,734","24,629","24,777","23,907","24,378","20,993","21,527","19,814","19,882","18,870","17,444","18,699","17,937","21,042","21,012","18,654","17,248","17,100","20,341","18,390","19,248","19,374","18,739","17,685","17,893","17,250","18,731","15,992","25,099","24,308","21,523","19,860"
"5 to 9 years","29,261","26,465","22,121","20,307","19,891","21,077","23,748","25,970","23,943","26,736","23,392","22,671","21,603","19,502","19,398","19,453","20,121","20,400","17,514","17,980","16,463","17,305","16,385","15,137","16,181","15,451","15,993","15,901","14,064","12,953","12,887","14,048","12,759","13,315","13,370","12,796","13,045","13,236","12,750","13,857","11,825","21,165","20,771","18,431","16,806"
"10 to 14 years","23,032","20,626","17,084","15,702","15,273","16,233","17,386","19,097","17,724","20,079","17,583","17,898","16,955","15,293","15,190","15,297","16,429","16,780","14,479","14,856","13,641","13,905","13,189","12,247","13,054","12,500","14,401","14,273","12,627","11,637","11,629","11,685","10,573","11,022","11,097","10,722","9,645","9,846","9,483","10,295","8,754","17,015","17,036","15,443","13,758"
"15 to 19 years","47,853","43,307","33,723","28,678","26,870","29,323","26,856","28,809","29,335","31,871","28,139","26,664","25,007","24,486","24,060","24,153","22,550","25,035","22,934","23,311","22,002","23,665","22,040","20,700","22,222","22,027","21,494","21,035","19,304","17,621","17,367","17,066","15,828","16,392","16,402","15,372","13,606","13,835","13,621","15,219","13,399","13,405","13,142","13,140","11,004"
"20 to 24 years","74,817","75,120","62,264","50,651","44,407","47,397","49,297","50,583","55,277","57,492","50,972","52,039","48,746","48,930","48,019","48,170","45,233","50,946","47,421","48,028","45,815","45,526","41,921","40,140","43,069","44,499","41,467","39,851","37,933","33,591","32,267","35,486","34,178","35,446","35,427","32,027","28,684","28,801","28,957","33,568","31,293","37,688","39,470","45,470","33,844"
"25 to 29 years","57,241","55,701","48,508","47,429","47,638","50,482","51,271","54,202","55,647","60,145","53,539","51,486","49,850","46,986","46,307","47,962","42,643","44,172","38,792","40,225","37,927","42,287","39,908","37,702","41,758","42,259","47,093","46,094","42,523","39,730","39,965","47,428","44,082","46,366","48,552","48,216","45,444","44,766","43,530","50,028","43,764","49,748","50,152","52,903","42,241"
"30 to 34 years","39,946","39,213","34,585","33,614","33,842","35,817","36,234","38,509","39,804","42,941","38,283","35,456","34,238","32,428","32,038","32,786","33,312","34,787","30,694","31,827","30,007","29,848","28,113","26,513","29,333","29,722","32,055","31,364","29,013","27,019","27,234","30,395","28,331","29,961","31,475","31,266","31,269","30,643","29,760","34,105","29,823","43,306","43,403","42,381","35,769"
"35 to 39 years","24,297","23,193","20,390","19,725","19,773","20,870","25,016","26,880","28,226","30,491","27,236","23,469","22,558","21,337","21,079","21,627","24,050","25,013","22,162","23,005","21,702","26,086","24,574","23,156","25,658","26,005","25,461","24,805","22,927","21,291","21,411","22,269","20,711","21,870","22,950","22,886","21,548","21,207","20,593","23,644","20,624","32,410","31,734","30,178","26,160"
"40 to 44 years","15,200","14,046","12,223","11,905","11,820","12,603","14,534","15,661","16,428","18,000","16,042","16,500","15,931","15,171","15,007","15,497","16,712","17,523","15,618","16,259","15,326","18,306","17,298","16,290","18,030","18,255","21,817","21,349","19,772","18,419","18,512","17,323","16,145","17,017","17,810","17,658","16,288","16,083","15,645","17,976","15,602","22,246","22,544","21,201","18,297"
"45 to 49 years","10,021","8,622","7,905","7,578","7,497","7,764","8,515","8,886","9,037","10,182","9,206","9,800","9,710","9,875","9,835","10,394","12,331","13,162","12,351","12,973","12,421","14,265","14,116","13,936","15,588","15,607","16,437","16,947","15,699","15,076","14,787","16,173","15,089","15,719","16,275","16,006","12,365","12,368","12,065","12,928","11,152","16,037","15,482","14,707","12,796"
"50 to 54 years","7,852","6,547","6,057","5,778","5,727","5,908","5,842","6,216","6,408","7,238","6,541","6,669","6,571","6,602","6,510","6,885","7,964","8,507","7,843","8,331","7,940","11,139","11,030","10,935","12,205","12,201","13,290","13,772","12,696","12,271","11,997","12,952","12,056","12,638","13,138","13,004","12,183","12,238","11,915","12,704","11,012","13,862","13,127","11,888","10,714"
"55 to 59 years","6,789","5,433","5,009","4,835","4,746","4,955","5,027","5,449","5,661","6,485","5,793","5,008","4,890","4,912","4,875","5,131","5,953","6,357","5,967","6,294","6,047","7,781","7,727","7,654","8,582","8,547","10,989","11,398","10,529","10,200","9,954","10,532","9,751","10,238","10,748","10,622","11,339","11,346","11,045","11,742","10,243","14,655","13,085","10,744","10,519"
"60 to 64 years","5,696","4,435","4,102","3,956","3,868","4,021","4,800","5,273","5,552","6,403","5,686","4,901","4,784","4,810","4,701","4,999","4,828","5,102","4,738","4,983","4,772","4,963","4,896","4,846","5,485","5,497","7,299","7,570","7,000","6,749","6,597","7,698","7,173","7,545","7,925","7,862","9,271","9,342","9,094","9,689","8,443","13,925","12,511","10,826","10,186"
"65 to 69 years","5,072","3,803","4,072","3,728","3,830","4,062","4,271","4,616","4,664","5,213","4,660","4,120","4,022","4,012","3,793","4,113","4,656","4,703","4,355","4,617","4,439","4,612","4,484","4,489","4,751","4,693","4,832","4,726","4,557","4,705","4,684","5,579","5,397","6,128","6,476","6,709","7,609","8,131","7,807","8,646","7,883","11,230","10,185","8,666","8,304"
"70 to 74 years","2,777","2,112","2,312","2,104","2,187","2,263","2,484","2,711","2,721","3,077","2,740","2,420","2,405","2,384","2,233","2,426","2,979","3,024","2,799","2,961","2,831","3,583","3,427","3,438","3,674","3,583","3,355","3,257","3,157","3,255","3,240","3,437","3,294","3,752","3,965","4,139","3,949","4,201","4,034","4,449","4,077","7,303","6,590","5,540","5,414"
