"REF_DATE","GEO","DGUID","Interprovincial migration","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1961-07","Canada","2021A000011124","In-migrants","Persons","249","units","0","v509037","1.1","95570","","","","0"
"1961-07","Canada","2021A000011124","Out-migrants","Persons","249","units","0","v509052","1.2","95570","","","","0"
"1961-07","Newfoundland and Labrador","2021A000210","In-migrants","Persons","249","units","0","v509038","2.1","2189","","","","0"
"1961-07","Newfoundland and Labrador","2021A000210","Out-migrants","Persons","249","units","0","v509053","2.2","2160","","","","0"
"1961-07","Prince Edward Island","2021A000211","In-migrants","Persons","249","units","0","v509044","3.1","1558","","","","0"
"1961-07","Prince Edward Island","2021A000211","Out-migrants","Persons","249","units","0","v509059","3.2","862","","","","0"
"1961-07","Nova Scotia","2021A000212","In-migrants","Persons","249","units","0","v509045","4.1","7281","","","","0"
"1961-07","Nova Scotia","2021A000212","Out-migrants","Persons","249","units","0","v509060","4.2","7792","","","","0"
"1961-07","New Brunswick","2021A000213","In-migrants","Persons","249","units","0","v509046","5.1","4828","","","","0"
"1961-07","New Brunswick","2021A000213","Out-migrants","Persons","249","units","0","v509061","5.2","6408","","","","0"
"1961-07","Quebec","2021A000224","In-migrants","Persons","249","units","0","v509047","6.1","13955","","","","0"
"1961-07","Quebec","2021A000224","Out-migrants","Persons","249","units","0","v509062","6.2","11694","","","","0"
"1961-07","Ontario","2021A000235","In-migrants","Persons","249","units","0","v509048","7.1","23682","","","","0"
"1961-07","Ontario","2021A000235","Out-migrants","Persons","249","units","0","v509063","7.2","24819","","","","0"
"1961-07","Manitoba","2021A000246","In-migrants","Persons","249","units","0","v509049","8.1","8640","","","","0"
"1961-07","Manitoba","2021A000246","Out-migrants","Persons","249","units","0","v509064","8.2","8650","","","","0"
"1961-07","Saskatchewan","2021A000247","In-migrants","Persons","249","units","0","v509050","9.1","6564","","","","0"
"1961-07","Saskatchewan","2021A000247","Out-migrants","Persons","249","units","0","v509065","9.2","7957","","","","0"
"1961-07","Alberta","2021A000248","In-migrants","Persons","249","units","0","v509051","10.1","13124","","","","0"
"1961-07","Alberta","2021A000248","Out-migrants","Persons","249","units","0","v509066","10.2","11779","","","","0"
"1961-07","British Columbia","2021A000259","In-migrants","Persons","249","units","0","v509039","11.1","12341","","","","0"
"1961-07","British Columbia","2021A000259","Out-migrants","Persons","249","units","0","v509054","11.2","12224","","","","0"
"1961-10","Canada","2021A000011124","In-migrants","Persons","249","units","0","v509037","1.1","86590","","","","0"
"1961-10","Canada","2021A000011124","Out-migrants","Persons","249","units","0","v509052","1.2","86590","","","","0"
"1961-10","Newfoundland and Labrador","2021A000210","In-migrants","Persons","249","units","0","v509038","2.1","1559","","","","0"
"1961-10","Newfoundland and Labrador","2021A000210","Out-migrants","Persons","249","units","0","v509053","2.2","1799","","","","0"
"1961-10","Prince Edward Island","2021A000211","In-migrants","Persons","249","units","0","v509044","3.1","1117","","","","0"
"1961-10","Prince Edward Island","2021A000211","Out-migrants","Persons","249","units","0","v509059","3.2","989","","","","0"
