"Estimates of the components of international migration, quarterly 1 2"
"Frequency: Quarterly"
"Table: 17-10-0040-01 (formerly CANSIM 051-0037)"
"Release date: 2026-06-17"
"Geography: Canada, Province or territory"
""
""

"Geography","Newfoundland and Labrador",,,,,"Prince Edward Island",,,,,"Nova Scotia",,,,,"New Brunswick",,,,,"Quebec",,,,,"Ontario",,,,,"Manitoba",,,,,"Saskatchewan",,,,,"Alberta",,,,,"British Columbia",,,,,"Yukon",,,,,"Northwest Territories including Nunavut 3",,,,,"Northwest Territories 4",,,,,"Nunavut 4",,,,
"Components of population growth","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Immigrants 5","1,563","1,154","1,222","1,132","1,397","817","544","452","416","628","2,852","2,208","2,450","1,667","2,568","3,214","2,708","2,971","2,048","2,535","9,590","18,926","18,259","13,361","10,767","47,275","44,050","43,205","35,159","34,851","5,385","4,760","4,640","4,164","5,196","4,589","3,467","3,406","2,584","3,356","13,624","12,613","12,963","12,415","11,139","14,916","12,740","13,025","9,988","10,311","242","178","165","128","215","..","..","..","..","..","122","146","88","84","169","21","13","21","22","17"
"Net emigration 6 7","30","35","54","24","29","28","33","41","26","30","255","316","451","234","256","126","162","168","112","127","2,077","1,520","2,860","1,800","2,096","9,792","5,045","9,515","6,806","9,885","512","189","527","249","515","332","26","236","181","332","1,779","1,075","2,161","1,537","1,794","5,007","2,683","4,026","3,601","5,052","7","-1","-5","2","8","..","..","..","..","..","16","11","22","23","16","0","0","0","0","0"
"Emigrants 7 8 9","48","70","106","44","48","48","68","94","49","48","364","489","711","353","366","183","259","297","178","185","3,340","3,460","5,891","3,222","3,371","14,398","11,206","19,154","11,508","14,534","802","593","1,180","537","808","553","334","735","412","557","3,097","3,149","5,390","3,054","3,125","6,951","5,066","7,611","5,517","7,016","13","6","8","6","14","..","..","..","..","..","19","14","26","27","20","0","0","0","0","0"
"Returning emigrants 7 9 10","18","35","52","20","19","20","35","53","23","18","109","173","260","119","110","57","97","129","66","58","1,263","1,940","3,031","1,422","1,275","4,606","6,161","9,639","4,702","4,649","290","404","653","288","293","221","308","499","231","225","1,318","2,074","3,229","1,517","1,331","1,944","2,383","3,585","1,916","1,964","6","7","13","4","6","..","..","..","..","..","3","3","4","4","4","0","0","0","0","0"
"Net temporary emigration 7 9 11","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Net non-permanent residents 12 13 14","-221","-266","-350","-1,344","-1,267","-666","7","-819","-676","-779","-522","-241","-3,114","-2,939","-1,665","-1,378","2","-2,608","-1,917","-2,368","-4,664","1,524","-15,989","-32,284","-21,665","-34,301","-37,397","-107,280","-82,291","-52,801","-2,706","-3,008","-6,319","-5,053","-5,784","-1,888","-803","-2,977","-1,857","-2,450","-669","-3,818","-10,605","-10,833","-9,993","-8,002","-14,699","-26,242","-31,972","-18,773","-220","17","-168","-154","-240","..","..","..","..","..","17","-50","-18","10","-103","26","13","10","14","9"
"Non-permanent residents, inflows 13 15","1,174","1,181","1,939","813","703","373","772","709","325","334","2,749","3,738","4,701","2,110","2,534","2,111","3,028","3,615","1,521","1,710","26,940","39,120","38,029","15,968","17,680","43,209","49,695","59,839","29,617","30,431","2,919","3,672","4,193","2,389","1,912","2,292","2,952","3,189","1,897","1,790","12,886","14,119","15,955","9,088","9,085","20,981","21,717","30,607","13,189","15,055","85","234","131","68","61","..","..","..","..","..","87","74","91","74","60","31","29","28","25","25"
"Non-permanent residents, outflows 16","1,395","1,447","2,289","2,157","1,970","1,039","765","1,528","1,001","1,113","3,271","3,979","7,815","5,049","4,199","3,489","3,026","6,223","3,438","4,078","31,604","37,596","54,018","48,252","39,345","77,510","87,092","167,119","111,908","83,232","5,625","6,680","10,512","7,442","7,696","4,180","3,755","6,166","3,754","4,240","13,555","17,937","26,560","19,921","19,078","28,983","36,416","56,849","45,161","33,828","305","217","299","222","301","..","..","..","..","..","70","124","109","64","163","5","16","18","11","16"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Estimates for the quarter: Q1 = January to March; Q2 = April to June; Q3 = July to September; Q4 = October to December."
2,"The population growth, which is used to calculate population estimates, is comprised of natural increase (Table 17100059), international migration (Table 17100040) and interprovincial migration (Tables 17100020 and 17100045)."
3,"Data for Northwest Territories and Nunavut are presented separately from July 1991."
4,"Prior to July 1991, only data for Northwest Territories and Nunavut combined are available."
5,"The number of immigrants is final up to December 2024, updated from January to March 2025 and preliminary from April 2025."
6,"Net emigration is obtained as follows: Emigrants - Returning emigrants. For estimates from 1991 to June 2016, net emigration is obtained as follows: Emigrants + Net temporary emigration - Returning emigrants."
7,"The estimated numbers of emigrants and returning emigrants have been revised going back to July 2016. Before this date, short-term emigrants and short-term returning emigrants were included in the “net temporary emigration” component. After this date, they are included in the emigrant and returning emigrant components, using a slightly different methodology. Due to this change, the net temporary emigration component is no longer calculated from July 2016 onwards."
8,"The number of emigrants is final up to June 2023, updated from July 2023 to March 2025 and preliminary from April 2025."
9,"Please note that due to the methodology used for the estimates of emigrants and returning emigrants, the estimates for the most recent periods are expected to be identical or very similar."
10,"The number of returning emigrants is final up to June 2023, updated from July 2023 to March 2025 and preliminary from April 2025."
11,"The number of net temporary emigrants is final up to June 2016."
12,"The net non-permanent residents is final up to June 2023, updated from July 2023 to March 2025 and preliminary from April 2025."
13,"These estimates of the net non-permanent residents (NPRs) are derived from estimates of the number of NPRs. The NPR estimates differ from the number of asylum claimants and temporary residents provided by Immigration, Refugees and Citizenship Canada (IRCC). Care should be taken to consider the differences in methods and reference dates when comparing data from IRCC with Statistics Canada demographic estimates. The two data sources are not fully comparable."
14,"A non-permanent resident refers to a person from another country with a usual place of residence in Canada and who has a work or study permit or who has claimed refugee status (asylum claimant, protected person or member of related groups). Family members living with work or study permit holders are also included unless these family members are already Canadian citizens, landed immigrants (permanent residents), or non-permanent residents themselves."
15,"The number of people entering Canada to work, study or claim asylum status along with their family members who are not Canadian citizens or landed immigrants (permanent residents)."
16,"The number of work and study permit holders leaving Canada, along with their family members who are not Canadian citizens or landed immigrants (permanent residents). This also includes permit holders as well as asylum claimants, protected persons and members of related groups staying in Canada who have been granted permanent resident status. In this case, these persons will be added to the immigration component. Asylum claimants, protected persons and members of related groups who have had their status revoked will be counted as an outflow."



"How to cite: Statistics Canada. Table 17-10-0040-01  Estimates of the components of international migration, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710004001
