"Age (in single years), average age and median age and gender: Canada, provinces and territories, census divisions, census subdivisions and dissemination areas"
"Frequency: Occasional"
"Table: 98-10-0023-01"
"Release date: 2022-04-27"
"Geography: Canada, Province or territory, Census division, Census subdivision, Dissemination area"
"Universe: Total population, including institutional residents, 2021 Census — 100% data"
"Variable List: Age (in single years), average age and median age (128), Gender (3)"

"Geography","Newfoundland and Labrador i2",,"Prince Edward Island i1468",,"Nova Scotia i1889",,"New Brunswick i3673",,"Quebec i5425",,"Ontario i20612",,"Manitoba i41707",,"Saskatchewan i44193",,"Alberta i47788",,"British Columbia i54434",,"Yukon i63063",,"Northwest Territories i63174",,"Nunavut i63320",
"Gender (3) 2 3","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5","Men+ 4","Women+ 5"
"Age (in single years), average age and median age (128) 1","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021","2021"
"Total - Age","250,075","260,475","75,385","78,945","471,735","497,650","381,460","394,150","4,201,960","4,299,875","6,970,850","7,253,090","666,495","675,660","563,125","569,380","2,127,935","2,134,700","2,457,515","2,543,365","20,105","20,130","20,845","20,225","18,765","18,095"
"0 to 14 years","35,045","33,140","12,125","11,515","70,165","66,545","56,890","54,245","713,290","678,075","1,155,635","1,096,165","129,850","123,085","114,355","108,760","415,870","393,770","369,250","347,650","3,545","3,280","4,315","4,165","6,175","5,905"
"0 to 4 years","9,765","9,220","3,480","3,275","20,605","19,730","16,625","15,655","217,140","205,835","350,035","333,480","41,145","39,290","35,550","33,900","128,560","121,690","111,020","105,800","1,090","1,080","1,480","1,350","2,295","2,090"
"Under 1 year","1,785","1,680","655","630","3,750","3,560","3,125","2,880","41,095","38,845","65,655","62,425","8,045","7,410","6,765","6,270","23,745","22,535","20,760","19,580","215","205","290","275","510","460"
"1","1,810","1,750","635","650","4,010","3,825","3,220","2,910","42,835","40,460","67,635","64,810","7,795","7,880","6,860","6,555","24,755","23,465","21,385","20,355","200","210","275","250","440","400"
"2","1,990","1,840","655","650","4,125","3,930","3,325","3,095","43,165","41,060","69,940","66,895","8,155","7,885","7,120","6,795","25,665","24,590","21,825","20,835","200","215","270","285","420","395"
"3","1,975","1,885","730","645","4,315","4,120","3,360","3,315","43,960","42,030","72,395","68,845","8,630","7,915","7,270","7,130","26,540","25,020","23,040","22,010","235","215","340","255","440","410"
"4","2,200","2,070","805","695","4,410","4,295","3,590","3,460","46,080","43,445","74,420","70,510","8,520","8,200","7,540","7,150","27,855","26,080","24,000","23,020","245","250","295","280","485","420"
