province,year,P1_0_14,P2_15_64,P3_65plus,P_tot
Newfoundland and Labrador,2000,92834,372494,62638,527966
Newfoundland and Labrador,2001,89446,369242,63355,522043
Newfoundland and Labrador,2002,87109,367964,64338,519411
Newfoundland and Labrador,2003,85051,367982,65356,518389
Newfoundland and Labrador,2004,83061,367660,66654,517375
Newfoundland and Labrador,2005,80402,365999,67909,514310
Newfoundland and Labrador,2006,78107,362992,69494,510593
Newfoundland and Labrador,2007,77050,360898,71099,509047
Newfoundland and Labrador,2008,76934,361425,73210,511569
Newfoundland and Labrador,2009,77332,363625,75784,516741
Newfoundland and Labrador,2010,77361,366139,78502,522002
Newfoundland and Labrador,2011,77097,365538,82320,524955
Newfoundland and Labrador,2012,76598,363672,85965,526235
Newfoundland and Labrador,2013,76023,361529,89408,526960
Newfoundland and Labrador,2014,75766,359322,92882,527970
Newfoundland and Labrador,2015,75134,357003,96211,528348
Newfoundland and Labrador,2016,74860,354492,100234,529586
Newfoundland and Labrador,2017,74035,351216,104491,529742
Newfoundland and Labrador,2018,72649,346703,109050,528402
Newfoundland and Labrador,2019,71227,342652,113764,527643
Newfoundland and Labrador,2020,69961,338453,118470,526884
Newfoundland and Labrador,2021,68849,334999,123208,527056
Newfoundland and Labrador,2022,68595,335687,126975,531257
Newfoundland and Labrador,2023,68437,339400,130952,538789
Newfoundland and Labrador,2024,68279,343699,134891,546869
Prince Edward Island,2000,27326,90839,18305,136470
Prince Edward Island,2001,26673,91386,18608,136667
Prince Edward Island,2002,26064,91980,18838,136882
Prince Edward Island,2003,25584,92588,19059,137231
Prince Edward Island,2004,25083,93318,19281,137682
Prince Edward Island,2005,24538,93893,19636,138067
Prince Edward Island,2006,23912,93880,20077,137869
Prince Edward Island,2007,23376,93843,20490,137709
Prince Edward Island,2008,23258,94534,20944,138736
Prince Edward Island,2009,23274,95195,21404,139873
Prince Edward Island,2010,23163,96428,22053,141644
Prince Edward Island,2011,23191,97843,22884,143918
Prince Edward Island,2012,22962,97515,23938,144415
Prince Edward Island,2013,22787,96180,24975,143942
Prince Edward Island,2014,22785,95322,25988,144095
Prince Edward Island,2015,22721,95121,26794,144636
Prince Edward Island,2016,23115,95931,27845,146891
Prince Edward Island,2017,23610,97333,28797,149740
Prince Edward Island,2018,23897,98618,29744,152259
Prince Edward Island,2019,24159,100758,30875,155792
Prince Edward Island,2020,24209,102991,31993,159193
Prince Edward Island,2021,24245,104595,33293,162133
Prince Edward Island,2022,24682,107995,34523,167200
Prince Edward Island,2023,24907,113098,35729,173734
Prince Edward Island,2024,25283,117577,36849,179709
Nova Scotia,2000,170492,637239,126090,933821
Nova Scotia,2001,166692,638291,127500,932483
Nova Scotia,2002,163276,642892,129004,935172
Nova Scotia,2003,160226,646621,130834,937681
Nova Scotia,2004,156868,649931,132826,939625
Nova Scotia,2005,152352,650932,134647,937931
Nova Scotia,2006,148120,652091,137669,937880
Nova Scotia,2007,145300,649889,139975,935164
Nova Scotia,2008,143308,649494,143163,935965
Nova Scotia,2009,141597,650068,146601,938266
Nova Scotia,2010,140125,652109,149910,942144
Nova Scotia,2011,138090,652026,153979,944095
Nova Scotia,2012,136721,645955,160487,943163
Nova Scotia,2013,135166,637968,166674,939808
Nova Scotia,2014,134266,631184,172318,937768
Nova Scotia,2015,133512,626505,177402,937419
Nova Scotia,2016,134425,625385,183174,942984
Nova Scotia,2017,135096,627721,189342,952159
Nova Scotia,2018,135969,630451,195652,962072
Nova Scotia,2019,137064,636047,202688,975799
Nova Scotia,2020,138455,640554,210159,989168
Nova Scotia,2021,138780,643343,217785,999908
Nova Scotia,2022,141767,656959,225308,1024034
Nova Scotia,2023,144479,675896,232630,1053005
Nova Scotia,2024,146638,696373,239758,1082769
New Brunswick,2000,134547,517558,98412,750517
New Brunswick,2001,131598,518595,99630,749823
New Brunswick,2002,129176,519461,100738,749375
New Brunswick,2003,126998,520350,102096,749444
New Brunswick,2004,124869,521068,103487,749424
New Brunswick,2005,122060,520763,105238,748061
New Brunswick,2006,118918,518789,107914,745621
New Brunswick,2007,117141,517993,110296,745430
New Brunswick,2008,115691,518365,112819,746875
